title,year,journal,method,markerGene,nSamples,seqDepth,simIndex,otuDefinition,taxa,medium,biome,scale,mantelR,pValue,notes
Temporal and Spatial Variations of Bacterial and Faunal Communities Associated with Deep+AC0-Sea Wood Falls,2017,PloS One,ARISA,ITS,6,NA,bray,band,bacteria,host,ocean,130,0.5,0.01,NA
+ACI-Regional variations in the diversity and predicted metabolic potential of benthic prokaryotes in coastal northern Zhejiang, East China Sea+ACI-,2016,Scientific Reports,illumina,16S,34,10000,bray,97,Bac+AF8-arch,sediment,sediment,200,0.322,0.001,NA
Microbial eukaryote communities exhibit robust biogeographical patterns along a gradient of Patagonian and Antarctic lakes,2016,Environmental Microbiology,DGGE,18S,40,NA,bray,band,eukarya,water,lake,2100,0.26,0.002,NA
Microbial eukaryote communities exhibit robust biogeographical patterns along a gradient of Patagonian and Antarctic lakes,2016,Environmental Microbiology,illumina,18S,14,14437,bray,NA,eukarya,water,lake,2100,0.67,0.003,NA
Decoupling function and taxonomy in the global ocean microbiome,2016,Science,illumina,metagenome,139,24644,bray,0.99,bacteria,water,ocean,9000,0.35,0.004,mesopelagic
Decoupling function and taxonomy in the global ocean microbiome,2016,Science,illumina,metagenome,139,24644,bray,0.99,bacteria,water,ocean,9000,0.33,0.001,surface
Geographical Distribution of Methanogenic Archaea in Nine Representative Paddy Soils in China,2016,Frontiers in Microbiology,pyrosequencing,16S,27,400,bray,0.97,archaea,soil,paddy,3400,0.3931,0.001,NA
Forest area and connectivity influence root+AC0-associated fungal communities in a fragmented landscape,2016,Ecology,pyrosequencing,28S,36,500,bray,0.97,fungi,host,forest,7,0.03,0.23,NA
Forest area and connectivity influence root+AC0-associated fungal communities in a fragmented landscape,2016,Ecology,illumina,ITS,36,1500,bray,0.97,fungi,host,forest,7,0,0.56,NA
+ACI-Diversity, Biogeography, and Biodegradation Potential of Actinobacteria in the Deep+AC0-Sea Sediments along the Southwest Indian Ridge+ACI-,2016,Frontiers in Microbiology,pyrosequencing,16S,9,6442,w+AF8-unifrac,0.97,bacteria,sediment,sediment,964,+AC0-0.167,0.726,NA
The local environment determines the assembly of root endophytic fungi at a continental scale,2016,Environmental Microbiology,sanger,ITS,52,87,Horn+AC0-morisita,0.97,fungi,host,grassland,1450,0.02,0.32,NA
Biogeography of planktonic and coral+AC0-associated microorganisms across the Hawaiian Archipelago,2016,FEMS Microbiology Ecology,TRFLP,16S,18,NA,bray,band,bacteria,water,ocean,4200,0.106,0.161,2005
Biogeography of planktonic and coral+AC0-associated microorganisms across the Hawaiian Archipelago,2016,FEMS Microbiology Ecology,TRFLP,16S,34,NA,bray,band,bacteria,water,ocean,4200,0.133,0.028,2006
Biogeography of planktonic and coral+AC0-associated microorganisms across the Hawaiian Archipelago,2016,FEMS Microbiology Ecology,TRFLP,16S,53,NA,bray,band,bacteria,host,coral,4200,0.16,0.001,2005
Biogeography of planktonic and coral+AC0-associated microorganisms across the Hawaiian Archipelago,2016,FEMS Microbiology Ecology,TRFLP,16S,28,NA,bray,band,bacteria,host,coral,4200,0.12,0.015,2006
Taxon interactions control the distributions of cryoconite bacteria colonizing a High Arctic ice cap,2016,Molecular Ecology,Ion Torrent,16S,37,124582,bray,0.97,bacteria,sediment,glacier,1664,0.275,0.001,NA
Biogeographic Distribution Patterns of Bacteria in Typical Chinese Forest Soils,2016,Frontiers in Microbiology,illumina,16S,115,7300,bray,0.97,bacteria,soil,forest,NA,0.259,0.001,NA
Ectomycorrhizal fungal richness declines towards the host species range edge,2016,Molecular Ecology,illumina,ITS,70,200,Raup+AC0-Crick,0.97,fungi,host,forest,NA,0.048,0.301,NA
Ectomycorrhizal fungal richness declines towards the host species range edge,2016,Molecular Ecology,illumina,ITS,70,10,Raup+AC0-Crick,0.97,fungi,host,forest,NA,+AC0-0.116,0.834,NA
Ectomycorrhizal fungal richness declines towards the host species range edge,2016,Molecular Ecology,illumina,ITS,70,81,Raup+AC0-Crick,0.97,fungi,host,forest,NA,+AC0-0.116,0.832,NA
Ectomycorrhizal fungal richness declines towards the host species range edge,2016,Molecular Ecology,illumina,ITS,70,188,Raup+AC0-Crick,0.97,fungi,host,forest,NA,+AC0-0.192,0.947,NA
Ectomycorrhizal fungal richness declines towards the host species range edge,2016,Molecular Ecology,illumina,ITS,65,200,Raup+AC0-Crick,0.97,fungi,soil,forest,NA,0.097,0.177,NA
Ectomycorrhizal fungal richness declines towards the host species range edge,2016,Molecular Ecology,illumina,ITS,65,10,Raup+AC0-Crick,0.97,fungi,soil,forest,NA,0.145,0.155,NA
Ectomycorrhizal fungal richness declines towards the host species range edge,2016,Molecular Ecology,illumina,ITS,65,81,Raup+AC0-Crick,0.97,fungi,soil,forest,NA,0.128,0.151,NA
Ectomycorrhizal fungal richness declines towards the host species range edge,2016,Molecular Ecology,illumina,ITS,65,188,Raup+AC0-Crick,0.97,fungi,soil,forest,NA,0.14,0.116,NA
Interactions between hydrology and water chemistry shape bacterioplankton biogeography across boreal freshwater networks,2016,ISME,illumina,16S,386,50323,bray,0.97,bacteria,water,lake,1700,0.06,0.1,NA
Patterns and processes in microbial biogeography: do molecules and morphologies give the same answers?,2016,ISME,pyrosequencing,18S,28,4783,bray,1,eukarya,water,ocean,163,0.48,0.01,NA
Patterns and processes in microbial biogeography: do molecules and morphologies give the same answers?,2016,ISME,morphology,NA,86,NA,bray,NA,eukarya,water,ocean,163,0.36,0.01,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,+AC0-0.009,0.912,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.199,0.011,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.001,0.995,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.023,0.779,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,+AC0-0.009,0.904,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,+AC0-0.048,0.568,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.204,0.008,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.034,0.644,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.079,0.407,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.112,0.198,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.036,0.649,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.116,0.159,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,+AC0-0.089,0.31,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.032,0.703,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.027,0.858,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.034,0.666,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.059,0.498,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.098,0.261,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.063,0.428,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.021,0.819,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,+AC0-0.106,0.166,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,+AC0-0.045,0.602,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.086,0.334,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.174,0.016,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,+AC0-0.023,0.79,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.038,0.598,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.039,0.649,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.076,0.4,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,0.118,0.223,NA
Spatial scale drives patterns in soil bacterial diversity,2016,Environmental Microbiology,illumina,16S,22,1000,w+AF8-unifrac,0.97,bacteria,soil,grassland,0.0001,+AC0-0.161,0.072,NA
Fungal communities in sediments of subtropical Chinese seas as estimated by DNA metabarcoding,2016,Scientific Reports,pyrosequencing,ITS,30,3433,bray,0.97,fungi,sediment,sediment,997.47,0.2959,0.001,NA
Microbial eukaryote plankton communities of high+AC0-mountain lakes from three continents exhibit strong biogeographic patterns,2016,Molecular Ecology,illumina,18S,13,36744,sorensen,1,eukarya,water,lake,12270,0.536,0.00002,swarm
Bacterial community dissimilarity between the surface and subsurface soils equals horizontal differences over several kilometers in the western Tibetan Plateau,2016,Environmental Microbiology,pyrosequencing,16S,12,2900,bray,0.97,bacteria,soil,grassland,923,0.35,0.004,surface
Bacterial community dissimilarity between the surface and subsurface soils equals horizontal differences over several kilometers in the western Tibetan Plateau,2016,Environmental Microbiology,pyrosequencing,16S,12,2900,bray,0.97,bacteria,soil,grassland,923,0.38,0.002,sub
Biogeographic Patterns Between Bacterial Phyllosphere Communities of the Southern Magnolia (Magnolia grandiflora) in a Small Forest,2016,Microbial Ecology,illumina,16S,91,27719,theta,0.97,bacteria,host,forest,0.45,0.213,0.001,NA
Biogeographic Patterns Between Bacterial Phyllosphere Communities of the Southern Magnolia (Magnolia grandiflora) in a Small Forest,2016,Microbial Ecology,illumina,16S,91,27719,jaccard,0.97,bacteria,host,forest,0.45,0.268,0.001,NA
Salinity shapes microbial diversity and community structure in surface sediments of the Qinghai+AC0-Tibetan Lakes,2016,Scientific Reports,illumina,16S,9,60000,bray,0.97,bacteria,sediment,lake,467,0.056,NA,NA
Contrasting microbial biogeographical patterns between anthropogenic subalpine grasslands and natural alpine grasslands,2016,New Phytologist,illumina,16S,26,660,bray,0.97,bacteria,soil,grassland,1530,0.06,NA,NA
Contrasting microbial biogeographical patterns between anthropogenic subalpine grasslands and natural alpine grasslands,2016,New Phytologist,illumina,ITS,26,970,bray,0.98,fungi,soil,grassland,1530,0.23,0.002,NA
Diversity and Biogeography of Bathyal and Abyssal Seafloor Bacteria,2016,PloS One,pyrosequencing,16S,27,6883,jaccard,0.97,bacteria,sediment,sediment,18700,0.18,0.017,NA
Archaeal and Bacterial Communities Associated with the Surface Mucus of Caribbean Corals Differ in Their Degree of Host Specificity and Community Turnover Over Reefs,2016,PloS One,TRFLP,16S,239,NA,Raup+AC0-Crick,band,bacteria,host,coral,2.5,0.086,0.01,NA
Archaeal and Bacterial Communities Associated with the Surface Mucus of Caribbean Corals Differ in Their Degree of Host Specificity and Community Turnover Over Reefs,2016,PloS One,TRFLP,16S,239,NA,Raup+AC0-Crick,band,archaea,host,coral,2.5,0,NA,NA
Decoupled distance+AC0-decay patterns between dsrA and 16S rRNA genes among salt marsh sulfate+AC0-reducing bacteria,2016,Environmental Microbiology,illumina,16S,75,83008,bray,0.97,bacteria,sediment,marsh,1300,0.75,0.001,NA
Decoupled distance+AC0-decay patterns between dsrA and 16S rRNA genes among salt marsh sulfate+AC0-reducing bacteria,2016,Environmental Microbiology,TRFLP,dsrA,75,NA,bray,band,bacteria,sediment,marsh,1300,0.11,0.001,NA
The roles of environmental conditions and geographical distances on the species turnover of the whole phytoplankton and zooplankton communities and their subsets in tropical reservoirs,2016,Hydrobiologica,morphology,NA,204,200,bray,NA,eukarya,water,ocean,1500,0.11,NA,NA
Scale+AC0-dependent effects of climate and geographic distance on bacterial diversity patterns across northern Chinas grasslands,2015,FEMS Microbiology Ecology,illumina,16S,54,173260,bray,0.97,bacteria,soil,grassland,3700,0.773,0.001,NA
Environmental and not spatial processes (directional and non+AC0-directional) shape the phytoplankton composition and functional groups in a large subtropical river basin,2015,Journal of Plankton Research,morphology,NA,29,NA,bray,NA,eukarya,water,river,1150,0.16,0.005,NA
Spatiotemporal dynamics and determinants of planktonic bacterial and microeukaryotic communities in a Chinese subtropical river,2015,Applied Microbiology and Biotechnology,DGGE,16S,16,NA,jaccard,band,bacteria,water,river,115,0.092,0.315,wet
Spatiotemporal dynamics and determinants of planktonic bacterial and microeukaryotic communities in a Chinese subtropical river,2015,Applied Microbiology and Biotechnology,DGGE,16S,16,NA,jaccard,band,bacteria,water,river,115,0.209,0.022,dry
Spatiotemporal dynamics and determinants of planktonic bacterial and microeukaryotic communities in a Chinese subtropical river,2015,Applied Microbiology and Biotechnology,DGGE,18S,16,NA,jaccard,band,eukarya,water,river,115,0.212,0.02,wet
Spatiotemporal dynamics and determinants of planktonic bacterial and microeukaryotic communities in a Chinese subtropical river,2015,Applied Microbiology and Biotechnology,DGGE,18S,16,NA,jaccard,band,eukarya,water,river,115,0.263,0.004,dry
Depth shapes alpha+AC0- and beta+AC0-diversities of microbial eukaryotes in surficial sediments of coastal ecosystems,2015,Environmental Microbiology,pyrosequencing,18S,39,1500,sorensen,0.97,eukarya,sediment,sediment,670,0.587,0.001,NA
+ACI-Bacterial biogeography in the coastal waters of northern Zhejiang, East China Sea is highly controlled by spatially structured environmental gradients+ACI-,2015,Environmental Microbiology,illumina,16S,95,10000,w+AF8-unifrac,0.97,bacteria,water,ocean,225,0.498,0.001,NA
+ACI-Bacterial biogeography in the coastal waters of northern Zhejiang, East China Sea is highly controlled by spatially structured environmental gradients+ACI-,2015,Environmental Microbiology,illumina,16S,95,10000,jaccard,0.97,bacteria,water,ocean,225,0.398,0.001,NA
Soil bacterial communities are shaped by temporal and environmental filtering: evidence from a long+AC0-term chronosequence,2015,Environmental Microbiology,Pac+AC0-Bio,16S,12,5000,w+AF8-unifrac,0.95,bacteria,soil,forest,500,0.47,0.01,NA
Quantifying the relative roles of selective and neutral processes in defining eukaryotic microbial communities,2015,ISME,pyrosequencing,26S,36,1257,jaccard,0.98,fungi,host,agriculture,885.49,0.1025775,0.1114,bark
Quantifying the relative roles of selective and neutral processes in defining eukaryotic microbial communities,2015,ISME,pyrosequencing,26S,36,1257,jaccard,0.98,fungi,host,agriculture,885.49,0.1476936,0.0502,fruit
Quantifying the relative roles of selective and neutral processes in defining eukaryotic microbial communities,2015,ISME,pyrosequencing,26S,36,1257,jaccard,0.98,fungi,soil,agriculture,885.49,0.3550623,0.0006,soil
The biogeography of abundant and rare bacterioplankton in the lakes and reservoirs of China,2015,ISME,illumina,16S,42,26322,bray,0.97,bacteria,water,lake,2700,0.498,0.01,NA
Biogeography of Planktonic and Benthic Archaeal Communities in a Subtropical Eutrophic Estuary of China,2015,Microbial Ecology,illumina,16S,12,300000,u+AF8-unifrac,0.98,archaea,water,river,21,0.866,0.001,NA
Biogeography of Planktonic and Benthic Archaeal Communities in a Subtropical Eutrophic Estuary of China,2015,Microbial Ecology,illumina,16S,6,300000,u+AF8-unifrac,0.98,archaea,sediment,sediment,21,+AC0-0.046,NA,NA
+ACI-Quantifying the effects of geographical and environmental factors on distribution of stream bacterioplankton within nature reserves of Fujian, China+ACI-,2015,Environmental Science and Pollution Research,DGGE,16S,31,NA,jaccard,band,bacteria,water,river,380,0.461,0.001,NA
Bacterial and Archaeal Communities in Sediments of the North Chinese Marginal Seas,2015,Microbial Ecology,pyrosequencing,16S,12,5192,bray,0.97,archaea,sediment,sediment,1000,0.801,0.001,NA
Bacterial and Archaeal Communities in Sediments of the North Chinese Marginal Seas,2015,Microbial Ecology,pyrosequencing,16S,12,15320,bray,0.97,bacteria,sediment,sediment,1000,0.735,0.001,NA
+ACI-Seasonal controls on grassland microbial biogeography: are they governed by plants, abiotic properties or both?+ACI-,2014,Soil Biology and Biochemistry,plfa,NA,60,NA,euclidean,band,bac+AF8-fungi,soil,grassland,0.001,0.1,0.05,NA
+ACI-Seasonal controls on grassland microbial biogeography: are they governed by plants, abiotic properties or both?+ACI-,2014,Soil Biology and Biochemistry,plfa,NA,60,NA,euclidean,band,bac+AF8-fungi,soil,grassland,0.001,0.05,NA,NA
+ACI-Seasonal controls on grassland microbial biogeography: are they governed by plants, abiotic properties or both?+ACI-,2014,Soil Biology and Biochemistry,plfa,NA,60,NA,euclidean,band,bac+AF8-fungi,soil,grassland,0.001,+AC0-0.03,NA,NA
+ACI-Seasonal controls on grassland microbial biogeography: are they governed by plants, abiotic properties or both?+ACI-,2014,Soil Biology and Biochemistry,plfa,NA,60,NA,euclidean,band,bac+AF8-fungi,soil,grassland,0.001,0.09,0.05,NA
+ACI-Seasonal controls on grassland microbial biogeography: are they governed by plants, abiotic properties or both?+ACI-,2014,Soil Biology and Biochemistry,plfa,NA,60,NA,euclidean,band,bac+AF8-fungi,soil,grassland,0.001,0.01,NA,NA
+ACI-Seasonal controls on grassland microbial biogeography: are they governed by plants, abiotic properties or both?+ACI-,2014,Soil Biology and Biochemistry,plfa,NA,60,NA,euclidean,band,bac+AF8-fungi,soil,grassland,0.001,0.1,0.05,NA
A continental view of pine+AC0-associated ectomycorrhizal fungal spore banks: a quiescent functional guild with a strong biogeographic pattern,2015,New Phytologist,pyrosequencing,ITS,247,50,sorensen,0.95,fungi,host,forest,6000,0.44,0.001,NA
A continental view of pine+AC0-associated ectomycorrhizal fungal spore banks: a quiescent functional guild with a strong biogeographic pattern,2015,New Phytologist,pyrosequencing,ITS,247,50,bray,0.95,fungi,host,forest,6000,0.38,0.001,NA
A continental view of pine+AC0-associated ectomycorrhizal fungal spore banks: a quiescent functional guild with a strong biogeographic pattern,2015,New Phytologist,pyrosequencing,ITS,247,50,Morisita+AC0-horn,0.95,fungi,host,forest,6000,0.37,0.001,NA
A continental view of pine+AC0-associated ectomycorrhizal fungal spore banks: a quiescent functional guild with a strong biogeographic pattern,2015,New Phytologist,pyrosequencing,ITS,247,50,jaccard,0.95,fungi,host,forest,6000,0.44,0.001,NA
A continental view of pine+AC0-associated ectomycorrhizal fungal spore banks: a quiescent functional guild with a strong biogeographic pattern,2015,New Phytologist,pyrosequencing,ITS,247,100,sorensen,0.95,fungi,host,forest,6000,0.47,0.001,NA
A continental view of pine+AC0-associated ectomycorrhizal fungal spore banks: a quiescent functional guild with a strong biogeographic pattern,2015,New Phytologist,pyrosequencing,ITS,247,100,bray,0.95,fungi,host,forest,6000,0.38,0.001,NA
A continental view of pine+AC0-associated ectomycorrhizal fungal spore banks: a quiescent functional guild with a strong biogeographic pattern,2015,New Phytologist,pyrosequencing,ITS,247,100,Morisita+AC0-horn,0.95,fungi,host,forest,6000,0.37,0.001,NA
A continental view of pine+AC0-associated ectomycorrhizal fungal spore banks: a quiescent functional guild with a strong biogeographic pattern,2015,New Phytologist,pyrosequencing,ITS,247,100,jaccard,0.95,fungi,host,forest,6000,0.47,0.001,NA
A continental view of pine+AC0-associated ectomycorrhizal fungal spore banks: a quiescent functional guild with a strong biogeographic pattern,2015,New Phytologist,pyrosequencing,ITS,247,200,sorensen,0.95,fungi,host,forest,6000,0.5,0.001,NA
A continental view of pine+AC0-associated ectomycorrhizal fungal spore banks: a quiescent functional guild with a strong biogeographic pattern,2015,New Phytologist,pyrosequencing,ITS,247,200,bray,0.95,fungi,host,forest,6000,0.39,0.001,NA
A continental view of pine+AC0-associated ectomycorrhizal fungal spore banks: a quiescent functional guild with a strong biogeographic pattern,2015,New Phytologist,pyrosequencing,ITS,247,200,Morisita+AC0-horn,0.95,fungi,host,forest,6000,0.38,0.001,NA
A continental view of pine+AC0-associated ectomycorrhizal fungal spore banks: a quiescent functional guild with a strong biogeographic pattern,2015,New Phytologist,pyrosequencing,ITS,247,200,jaccard,0.95,fungi,host,forest,6000,0.51,0.001,NA
Catchment+AC0-scale biogeography of riverine bacterioplankton,2015,ISME,pyrosequencing,16S,23,2179,bray,NA,bacteria,water,river,90,0.1214,0.048,NA
Biogeography of globally distributed bacteria in temperate and boreal Quebec lakes as revealed by tag pyrosequencing of 16S rRNA genes,2015,Aquatic Microbial Ecology,pyrosequencing,16S,37,500,bray,0.97,bacteria,water,lake,1200,0.23,0.001,NA
Biogeography of globally distributed bacteria in temperate and boreal Quebec lakes as revealed by tag pyrosequencing of 16S rRNA genes,2015,Aquatic Microbial Ecology,pyrosequencing,16S,37,500,bray,0.85,bacteria,water,lake,1200,0.07,0.019,NA
+ACI-Aquatic bacterial assemblage structure in Pozas Azules, Cuatro Cienegas Basin, Mexico: Deterministic vs. stochastic processes+ACI-,2015,International Microbiology,sanger,16S,20,80,sorensen,0.97,bacteria,water,lake,1.8,0.7979,0.04117,NA
Testing the theory of island biogeography for microorganisms+AC0-patterns for spring diatoms,2015,Aquatic Microbial Ecology,morphology,NA,50,300,bray,NA,eukarya,water,river,500,0.07,0.446,NA
Bacterial and archaeal biogeography of the deep chlorophyll maximum in the South Pacific Gyre,2015,Aquatic Microbial Ecology,pyrosequencing,16S,8,9200,bray,0.97,Bac+AF8-arch,water,ocean,7500,0.529,0.1,NA
Plant diversity predicts beta but not alpha diversity of soil microbes across grasslands worldwide,2015,Ecology Letters,illumina,16S,25,100,bray,0.97,archaea,soil,grassland,14800,0.24,0.021,NA
Plant diversity predicts beta but not alpha diversity of soil microbes across grasslands worldwide,2015,Ecology Letters,illumina,16S,25,18000,bray,0.97,bacteria,soil,grassland,14800,0.47,0.001,NA
Plant diversity predicts beta but not alpha diversity of soil microbes across grasslands worldwide,2015,Ecology Letters,illumina,ITS,25,485,bray,0.97,fungi,soil,grassland,14800,0.49,0.001,NA
Environmental filtering affects soil fungal community composition more than dispersal limitation at regional scales,2014,Fungal Ecology,pyrosequencing,18S,21,1000,euclidean,0.97,fungi,soil,grassland,360,0.05,0.87,NA
Environmental filtering affects soil fungal community composition more than dispersal limitation at regional scales,2014,Fungal Ecology,pyrosequencing,18S,5,1000,euclidean,0.97,fungi,air,air,110,0.01,0.36,NA
+ACI-A phylogenetic perspective on species diversity, beta+AC0-diversity and biogeography for the microbial world+ACI-,2014,Molecular Ecology,sanger,16S,18,65,u+AF8-unifrac,0.97,bacteria,water,lake,72,0.1,0.31,NA
Biogeographic patterns in below+AC0-ground diversity in New York Citys Central Park are similar to those observed globally,2014,Proceedings of the Royal Society B,illumina,16S,596,40000,bray,0.97,Bac+AF8-arch,soil,grassland,4,0.06,0.001,NA
Biogeographic patterns in below+AC0-ground diversity in New York Citys Central Park are similar to those observed globally,2014,Proceedings of the Royal Society B,illumina,16S,596,40000,jaccard,0.97,Bac+AF8-arch,soil,grassland,4,0.06,0.001,NA
Biogeographic patterns in below+AC0-ground diversity in New York Citys Central Park are similar to those observed globally,2014,Proceedings of the Royal Society B,illumina,18S,596,40000,bray,0.97,eukarya,soil,grassland,4,0.03,0.02,NA
Biogeographic patterns in below+AC0-ground diversity in New York Citys Central Park are similar to those observed globally,2014,Proceedings of the Royal Society B,illumina,18S,596,40000,jaccard,0.97,eukarya,soil,grassland,4,0.03,0.025,NA
