authors,title,journal,year,vol,DOI,reviewer,screened,access,use
"Wu, LW; Ning, DL; Zhang, B; Li, Y; Zhang, P; Shan, XY; Zhang, QT; Brown, MR; Li, ZX; Van Nostrand, JD; Ling, FQ; Xiao, NJ; Zhang, Y; Vierheilig, J; Wells, GF; Yang, YF; Deng, Y; Tu, QC; Wang, AJ; Zhang, T; He, ZL; Keller, J; Nielsen, PH; Alvarez, PJJ; Criddle, CS; Wagner, M; Tiedje, JM; He, Q; Curtis, TP; Stahl, DA; Alvarez-Cohen, L; Rittmann, BE; Wen, XH; Zhou, JZ","Global diversity and biogeography of bacterial communities in wastewater treatment plants (vol 4, pg 1183, 2019)",NATURE MICROBIOLOGY,2019,4,10.1038/s41564-019-0617-0,me,YES,,
"Kaestli, M; Munksgaard, N; Gibb, K; Davis, J",Microbial diversity and distribution differ between water column and biofilm assemblages in arid-land waterbodies,FRESHWATER SCIENCE,2019,38,10.1086/706106,me,YES,,
"Zhao, JS; Gao, Q; Zhou, JZ; Wang, MM; Liang, YT; Sun, B; Chu, HY; Yang, YF",The scale dependence of fungal community distribution in paddy soil driven by stochastic and deterministic processes,FUNGAL ECOLOGY,2019,42,10.1016/j.funeco.2019.07.010,me,YES,,
"Zeng, QC; Jia, PL; Wang, Y; Wang, HL; Li, CC; An, SS",The local environment regulates biogeographic patterns of soil fungal communities on the Loess Plateau,CATENA,2019,183,10.1016/j.catena.2019.104220,me,YES,,
"Simmler, M; Christl, I; Kretzschmar, R",Effect of extreme metal(loid) concentrations on prokaryotic community structure in floodplain soils contaminated with mine waste,APPLIED SOIL ECOLOGY,2019,144,10.1016/j.apsoil.2019.07.022,me,maybe,,
"Tobias-Hunefeldt, SP; Wing, SR; Espinel-Velasco, N; Baltar, F; Morales, SE",Depth and location influence prokaryotic and eukaryotic microbial community structure in New Zealand fjords,SCIENCE OF THE TOTAL ENVIRONMENT,2019,693,10.1016/j.scitotenv.2019.07.313,me,maybe,,
"Kong, J; Wang, Y; Warren, A; Huang, BQ; Sun, P","Diversity Distribution and Assembly Mechanisms of Planktonic and Benthic Microeukaryote Communities in Intertidal Zones of Southeast Fujian, China",FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.02640,me,YES,,
"Pino, V; McBratney, A; Fajardo, M; Wilson, N; Deaker, R","Understanding soil biodiversity using two orthogonal 1000km transects across New South Wales, Australia",GEODERMA,2019,354,10.1016/j.geoderma.2019.07.018,me,maybe,,
"Salazar, G; Paoli, L; Alberti, A; Huerta-Cepas, J; Ruscheweyh, HJ; Cuenca, M; Field, CM; Coelho, LP; Cruaud, C; Engelen, S; Gregory, AC; Labadie, K; Marec, C; Pelletier, E; Royo-Llonch, M; Roux, S; Sanchez, P; Uehara, H; Zayed, AA; Zeller, G; Carmichael, M; Dimier, C; Ferland, J; Kandels, S; Picheral, M; Pisarev, S; Poulain, J; Acinas, SG; Babin, M; Bork, P; Boss, E; Bowler, C; Cochrane, G; de Vargas, C; Follows, M; Gorsky, G; Grimsley, N; Guidi, L; Hingamp, P; Iudicone, D; Jaillon, O; Kandels-Lewis, S; Karp-Boss, L; Karsenti, E; Not, F; Ogata, H; Pesant, S; Poulton, N; Raes, J; Sardet, C; Speich, S; Stemmann, L; Sullivan, MB; Sunagawa, S; Wincker, P",Gene Expression Changes and Community Turnover Differentially Shape the Global Ocean Metatranscriptome,CELL,2019,179,10.1016/j.cell.2019.10.014,me,maybe,,
"Wang, Y; Xu, LY; Wang, SY; Ye, F; Zhu, GB","Global Distribution of Anaerobic Ammonia Oxidation (Anammox) Bacteria - Field Surveys in Wetland, Dryland, Groundwater Aquifer and Snow",FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.02583,me,maybe,,
"Li, Y; Gao, Y; Zhang, WL; Wang, C; Wang, PF; Niu, LH; Wu, HN",Homogeneous selection dominates the microbial community assembly in the sediment of the Three Gorges Reservoir,SCIENCE OF THE TOTAL ENVIRONMENT,2019,690,10.1016/j.scitotenv.2019.07.014,me,YES,,
"Sia, ESA; Zhu, ZY; Zhang, J; Cheah, W; Jiang, S; Jang, FH; Mujahid, A; Shiah, FK; Muller, M",Biogeographical distribution of microbial communities along the Rajang River-South China Sea continuum,BIOGEOSCIENCES,2019,16,10.5194/bg-16-4243-2019,me,YES,,
"Spatharis, S; Lamprinou, V; Meziti, A; Kormas, KA; Danielidis, DD; Smeti, E; Roelke, DL; Mancy, R; Tsirtsis, G",Everything is not everywhere: can marine compartments shape phytoplankton assemblages?,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2019,286,10.1098/rspb.2019.1890,me,YES,,
"Macingo, SC; Kormas, KA; Oikonomou, A; Karayanni, H",Taxa-area and distance-decay relationships of unicellular eukaryotes along an elevation gradient of mountainous freshwater ecosystems,JOURNAL OF PLANKTON RESEARCH,2019,41,10.1093/plankt/fbz066,me,YES,,
"Cavaco, MA; St Louis, VL; Engel, K; St Pierre, KA; Schiff, SL; Stibal, M; Neufeld, JD",Freshwater microbial community diversity in a rapidly changing High Arctic watershed,FEMS MICROBIOLOGY ECOLOGY,2019,95,10.1093/femsec/fiz161,me,YES,,
"Fillinger, L; Hug, K; Griebler, C",Selection imposed by local environmental conditions drives differences in microbial community composition across geographically distinct groundwater aquifers,FEMS MICROBIOLOGY ECOLOGY,2019,95,10.1093/femsec/fiz160,me,YES,,
"Harder, CB; Albers, CN; Rosendahl, S; Aamand, J; Ellegaard-Jensen, L; Ekelund, F",Successional trophic complexity and biogeographical structure of eukaryotic communities in waterworks rapid sand filters,FEMS MICROBIOLOGY ECOLOGY,2019,95,10.1093/femsec/fiz148,me,YES,,
"Wu, XG; Wang, Y; Zhu, Y; Tian, H; Qin, XC; Cui, CZ; Zhao, LP; Simonet, P; Zhang, XJ","Variability in the Response of Bacterial Community Assembly to Environmental Selection and Biotic Factors Depends on the Immigrated Bacteria, as Revealed by a Soil Microcosm Experiment",MSYSTEMS,2019,4,10.1128/mSystems.00496-19,me,maybe,,
"Zhang, SB; Xia, XH; Li, SL; Zhang, LW; Wang, GQ; Li, MS; Shi, YN; Chen, NW",Ammonia Oxidizers in High-Elevation Rivers of the Qinghai-Tibet Plateau Display Distinctive Distribution Patterns,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,2019,85,10.1128/AEM.01701-19,me,YES,,
"Dong, CM; Xie, YR; Li, HM; Lai, QL; Liu, XP; Shao, ZZ",Faunal and microbial biodiversity of the newly discovered Deyin-1 hydrothermal vent field at 15 degrees S on the southern Mid-Atlantic Ridge,DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,2019,153,10.1016/j.dsr.2019.103134,me,maybe,,
"Overholt, WA; Schwing, P; Raz, KM; Hastings, D; Hollander, DJ; Kostka, JE",The core seafloor microbiome in the Gulf of Mexico is remarkably consistent and shows evidence of recovery from disturbance caused by major oil spills,ENVIRONMENTAL MICROBIOLOGY,2019,21,10.1111/1462-2920.14794,me,maybe,,
"Li, W; Wang, MM; Burgaud, G; Yu, HM; Cai, L",Fungal Community Composition and Potential Depth-Related Driving Factors Impacting Distribution Pattern and Trophic Modes from Epi- to Abyssopelagic Zones of the Western Pacific Ocean,MICROBIAL ECOLOGY,2019,78,10.1007/s00248-019-01374-y,me,maybe,,
"Trivedi, C; Reich, PB; Maestre, FT; Hu, HW; Singh, BK; Delgado-Baquerizo, M",Plant-driven niche differentiation of ammonia-oxidizing bacteria and archaea in global drylands,ISME JOURNAL,2019,13,10.1038/s41396-019-0465-1,me,maybe,,
"Cobian, GM; Egan, CP; Amend, AS",Plant-microbe specificity varies as a function of elevation,ISME JOURNAL,2019,13,10.1038/s41396-019-0470-4,me,maybe,,
"Zhao, XF; Hao, YQ; Zhang, DY; Zhang, QG",Local biotic interactions drive species-specific divergence in soil bacterial communities,ISME JOURNAL,2019,13,10.1038/s41396-019-0477-x,me,maybe,,
"Jiao, S; Wang, JM; Wei, GH; Chen, WM; Lu, YH",Dominant role of abundant rather than rare bacterial taxa in maintaining agro-soil microbiomes under environmental disturbances,CHEMOSPHERE,2019,235,10.1016/j.chemosphere.2019.06.174,me,maybe,,
"Duchinski, K; Moyer, CL; Hager, K; Fullerton, H",Fine-Scale Biogeography and the Inference of Ecological Interactions Among Neutrophilic Iron-Oxidizing Zetaproteobacteria as Determined by a Rule-Based Microbial Network,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.02389,me,maybe,,
"Chen, WD; Ren, KX; Isabwe, A; Chen, HH; Liu, M; Yang, J",Stochastic processes shape microeukaryotic community assembly in a subtropical river across wet and dry seasons,MICROBIOME,2019,7,10.1186/s40168-019-0749-8,me,YES,,
"Souza, FFC; Rissi, DV; Pedrosa, FO; Souza, EM; Baura, VA; Monteiro, RA; Balsanelli, E; Cruz, LM; Souza, RAF; Andreae, MO; Reis, RA; Godoi, RHM; Huergo, LF",Uncovering prokaryotic biodiversity within aerosols of the pristine Amazon forest,SCIENCE OF THE TOTAL ENVIRONMENT,2019,688,10.1016/j.scitotenv.2019.06.218,me,maybe,,
"Sengupta, A; Indivero, J; Gunn, C; Tfaily, MM; Chu, RK; Toyoda, J; Bailey, VL; Ward, ND; Stegen, JC",Spatial gradients in the characteristics of soil-carbon fractions are associated with abiotic features but not microbial communities,BIOGEOSCIENCES,2019,16,10.5194/bg-16-3911-2019,me,maybe,,
"Salmaso, N",Effects of Habitat Partitioning on the Distribution of Bacterioplankton in Deep Lakes,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.02257,me,maybe,,
"Singh, P; Santoni, S; Weber, A; This, P; Peros, JP",Understanding the phyllosphere microbiome assemblage in grape species (Vitaceae) with amplicon sequence data structures,SCIENTIFIC REPORTS,2019,9,10.1038/s41598-019-50839-0,me,maybe,,
"Rapacciuolo, G; Beman, JM; Schiebelhut, LM; Dawson, MN",Microbes and macro-invertebrates show parallel beta-diversity but contrasting alpha-diversity patterns in a marine natural experiment,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2019,286,10.1098/rspb.2019.0999,me,YES,,
"Huang, YT; Zhang, X; Fu, SL; Zhang, WX",Environmental Filtering Drives Local Soil Fungal Beta Diversity More Than Dispersal Limitation in Six Forest Types along a Latitudinal Gradient in Eastern China,FORESTS,2019,10,10.3390/f10100863,me,YES,,
"Li, PF; Liu, J; Jiang, CY; Wu, M; Liu, M; Li, ZP",Distinct Successions of Common and Rare Bacteria in Soil Under Humic Acid Amendment - A Microcosm Study,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.02271,me,maybe,,
"Yang, YC; Ashworth, AJ; DeBruyn, JM; Willett, C; Durso, LM; Cook, K; Moore, PA; Owens, PR","Soil bacterial biodiversity is driven by long-term pasture management, poultry litter, and cattle manure inputs",PEERJ,2019,7,10.7717/peerj.7839,me,maybe,,
"Martinez-Diz, MD; Andres-Sodupe, M; Bujanda, R; Diaz-Losada, E; Eichmeier, A; Gramaje, D",Soil-plant compartments affect fungal microbiome diversity and composition in grapevine,FUNGAL ECOLOGY,2019,41,10.1016/j.funeco.2019.07.003,me,maybe,,
"Kivlin, SN; Kazenel, MR; Lynn, JS; Taylor, DL; Rudgers, JA",Plant Identity Influences Foliar Fungal Symbionts More Than Elevation in the Colorado Rocky Mountains,MICROBIAL ECOLOGY,2019,78,10.1007/s00248-019-01336-4,me,maybe,,
"Singer, D; Metz, S; Unrein, F; Shimano, S; Mazei, Y; Mitchell, EAD; Lara, E","Contrasted Micro-Eukaryotic Diversity Associated with Sphagnum Mosses in Tropical, Subtropical and Temperate Climatic Zones",MICROBIAL ECOLOGY,2019,78,10.1007/s00248-019-01325-7,me,maybe,,
"Castle, SC; Samac, DA; Sadowsky, MJ; Rosen, CJ; Gutknecht, JLM; Kinkel, LL",Impacts of Sampling Design on Estimates of Microbial Community Diversity and Composition in Agricultural Soils,MICROBIAL ECOLOGY,2019,78,10.1007/s00248-019-01318-6,me,maybe,,
"Peng, WX; Zhu, YF; Song, M; Du, H; Song, TQ; Zeng, FP; Zhang, F; Wang, KL; Luo, YQ; Lan, X; Zhang, JY",The spatial distribution and drivers of soil microbial richness and diversity in a karst broadleaf forest,FOREST ECOLOGY AND MANAGEMENT,2019,449,10.1016/j.foreco.2019.03.033,me,YES,,
"Liu, J; Guo, ZY; Xu, AA; Wang, CK; Wu, SW; Pan, K; Zhang, FF; Pan, XZ",Spatial differences in bacterial communities preserved in soils archived for a decade,APPLIED SOIL ECOLOGY,2019,142,10.1016/j.apsoil.2019.05.021,me,YES,,
"Xu, Y; Soininen, J",Spatial patterns of functional diversity and composition in marine benthic ciliates along the coast of China,MARINE ECOLOGY PROGRESS SERIES,2019,627,10.3354/meps13086,me,YES,,
"Sun, P; Huang, LY; Xu, DP; Warren, A; Huang, BQ; Wang, Y; Wang, L; Xiao, WP; Kong, J",Integrated Space-Time Dataset Reveals High Diversity and Distinct Community Structure of Ciliates in Mesopelagic Waters of the Northern South China Sea,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.02178,me,maybe,,
"Crevecoeur, S; Ruiz-Gonzalez, C; Prairie, YT; del Giorgio, PA",Large-scale biogeography and environmental regulation of methanotrophic bacteria across boreal inland waters,MOLECULAR ECOLOGY,2019,28,10.1111/mec.15223,me,YES,,
"Liu, MH; Sui, X; Hu, YB; Feng, FJ","Microbial community structure and the relationship with soil carbon and nitrogen in an original Korean pine forest of Changbai Mountain, China",BMC MICROBIOLOGY,2019,19,10.1186/s12866-019-1584-6,me,maybe,,
"Liu, Q; Huo, YY; Wu, YH; Bai, YC; Yuan, YP; Chen, M; Xu, DF; Wang, J; Wang, CS; Xu, XW",Bacterial Community on a Guyot in the Northwest Pacific Ocean Influenced by Physical Dynamics and Environmental Variables,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2019,124,10.1029/2019JG005066,me,YES,,
"Mao, YF; Liu, Y; Li, H; He, Q; Ai, HN; Gu, WK; Yang, GF","Distinct responses of planktonic and sedimentary bacterial communities to anthropogenic activities: Case study of a tributary of the Three Gorges Reservoir, China",SCIENCE OF THE TOTAL ENVIRONMENT,2019,682,10.1016/j.scitotenv.2019.05.172,me,maybe,,
"Xu, ZW; Yu, GR; Wang, QF; Zhang, XY; Wang, RL; Zhao, N; He, NP; Liu, ZP",Plant functional traits determine latitudinal variations in soil microbial function: evidence from forests in China,BIOGEOSCIENCES,2019,16,10.5194/bg-16-3333-2019,me,maybe,,
"Delmont, TO; Kiefl, E; Kilinc, O; Esen, OC; Uysal, I; Rappe, MS; Giovannoni, S; Eren, AM",Single-amino acid variants reveal evolutionary processes that shape the biogeography of a global SAR11 subclade,ELIFE,2019,8,10.7554/eLife.46497,me,maybe,,
"Liu, NN; Hu, HF; Ma, WH; Deng, Y; Liu, YQ; Hao, BH; Zhang, XY; Dimitrov, D; Feng, XJ; Wang, ZH",Contrasting Biogeographic Patterns of Bacterial and Archaeal Diversity in the Top- and Subsoils of Temperate Grasslands,MSYSTEMS,2019,4,10.1128/mSystems.00566-19,me,YES,,
"Zhang, CJ; Pan, J; Duan, CH; Wang, YM; Liu, Y; Sun, J; Zhou, HC; Song, X; Li, M",Prokaryotic Diversity in Mangrove Sediments across Southeastern China Fundamentally Differs from That in Other Biomes,MSYSTEMS,2019,4,10.1128/mSystems.00442-19,me,YES,,
"Malard, LA; Anwar, MZ; Jacobsen, CS; Pearce, DA",Biogeographical patterns in soil bacterial communities across the Arctic region,FEMS MICROBIOLOGY ECOLOGY,2019,95,10.1093/femsec/fiz128,me,YES,,
"Zhao, S; Liu, JJ; Banerjee, SMR; White, AM; Zhou, N; Zhao, ZY; Zhang, K; Hu, MF; Kingsley, KR; Tian, CY",Not by Salinity Alone: How Environmental Factors Shape Fungal Communities in Saline Soils,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,2019,83,10.2136/sssaj2019.03.0082,me,YES,,
"Nawaz, A; Purahong, W; Herrmann, M; Kusel, K; Buscot, F; Wubet, T",DNA- and RNA- Derived Fungal Communities in Subsurface Aquifers Only Partly Overlap but React Similarly to Environmental Factors,MICROORGANISMS,2019,7,10.3390/microorganisms7090341,me,YES,,
"Fen, MM; Tripathi, BM; Shi, Y; Adams, JM; Zhu, YG; Chu, HY",Interpreting distance-decay pattern of soil bacteria via quantifying the assembly processes at multiple spatial scales,MICROBIOLOGYOPEN,2019,8,10.1002/mbo3.851,me,YES,,
"Liao, BQ; Yan, XX; Zhang, J; Chen, M; Li, YL; Huang, JF; Lei, M; He, HL; Wang, J",Microbial community composition in alpine lake sediments from the Hengduan Mountains,MICROBIOLOGYOPEN,2019,8,10.1002/mbo3.832,me,YES,,
"Boeddinghaus, RS; Marhan, S; Berner, D; Boch, S; Fischer, M; Holzel, N; Kattge, J; Klaus, VH; Kleinebecker, T; Oelmann, Y; Prati, D; Schafer, D; Schoning, I; Schrumpf, M; Sorkau, E; Kandeler, E; Manning, P",Plant functional trait shifts explain concurrent changes in the structure and function of grassland soil microbial communities,JOURNAL OF ECOLOGY,2019,107,10.1111/1365-2745.13182,me,maybe,,
"Perez-Fernandez, CA; Iriarte, M; Rivera-Perez, J; Tremblay, RL; Toranzos, GA",Microbiota dispersion in the Uyuni salt flat (Bolivia) as determined by community structure analyses,INTERNATIONAL MICROBIOLOGY,2019,22,10.1007/s10123-018-00052-2,me,YES,,
"Walsh, CM; Gebert, MJ; Delgado-Baquerizo, M; Maestre, FT; Fierer, N",A Global Survey of Mycobacterial Diversity in Soil,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,2019,85,10.1128/AEM.01180-19,me,maybe,,
"Adhikari, NP; Liu, YQ; Liu, KS; Zhang, F; Adhikari, S; Chen, YY; Liu, XB","Bacterial community composition and diversity in Koshi River, the largest river of Nepal",ECOLOGICAL INDICATORS,2019,104,10.1016/j.ecolind.2019.05.009,me,YES,,
"Lucena-Padros, H; Ruiz-Barba, JL","Microbial biogeography of Spanish-style green olive fermentations in the province of Seville, Spain",FOOD MICROBIOLOGY,2019,82,10.1016/j.fm.2019.02.004,me,YES,,
"Ramirez, GA; Garber, AI; Lecoeuvre, A; DAngelo, T; Wheat, CG; Orcutt, BN",Ecology of Subseafloor Crustal Biofilms,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.01983,me,maybe,,
"Xing, R; Gao, QB; Zhang, FQ; Wang, JL; Chen, SL",Large-scale distribution of bacterial communities in the Qaidam Basin of the Qinghai-Tibet Plateau,MICROBIOLOGYOPEN,2019,8,10.1002/mbo3.909,me,YES,,
"Zeng, QC; An, SS; Liu, Y; Wang, HL; Wang, Y",Biogeography and the driving factors affecting forest soil bacteria in an arid area,SCIENCE OF THE TOTAL ENVIRONMENT,2019,680,10.1016/j.scitotenv.2019.04.184,me,YES,,
"Liang, TY; Yang, G; Ma, YX; Yao, QZ; Ma, Y; Ma, H; Hu, Y; Yang, Y; Wang, SX; Pan, YY; Li, GT",Seasonal dynamics of microbial diversity in the rhizosphere of Ulmus pumila L. var. sabulosa in a steppe desert area of Northern China,PEERJ,2019,7,10.7717/peerj.7526,me,maybe,,
"Wang, L; Zhang, X; Li, Y; Sun, RX; Lin, YL; Yu, H; Xue, YW; Zhou, XZ; Liu, WX; Yan, LL; Zhang, Y",The drivers of bacterial community underlying biogeographical pattern in Mollisol area of China,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,2019,177,10.1016/j.ecoenv.2019.03.114,me,YES,,
"dos Reis, MC; Bagatini, IL; Vidal, LD; Bonnet, MP; Marques, DD; Sarmento, H",Spatial heterogeneity and hydrological fluctuations drive bacterioplankton community composition in an Amazon floodplain system,PLOS ONE,2019,14,10.1371/journal.pone.0220695,me,YES,,
"Dietzel, K; Valle, D; Fierer, N; URen, JM; Barberan, A",Geographical Distribution of Fungal Plant Pathogens in Dust Across the United States,FRONTIERS IN ECOLOGY AND EVOLUTION,2019,7,10.3389/fevo.2019.00304,me,YES,,
"Hermans, SM; Buckley, HL; Lear, G",Perspectives on the Impact of Sampling Design and Intensity on Soil Microbial Diversity Estimates,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.01820,me,maybe,,
"Hotaling, S; Foley, ME; Zeglin, LH; Finn, DS; Tronstad, LM; Giersch, JJ; Muhlfeld, CC; Weisrock, DW",Microbial assemblages reflect environmental heterogeneity in alpine streams,GLOBAL CHANGE BIOLOGY,2019,25,10.1111/gcb.14683,me,maybe,,
"de Oliveira, ISR; Jesus, ED; Ribeiro, TG; da Silva, MSRD; Tenorio, JD; Martins, LMV; de Faria, SM",Mimosa caesalpiniifolia Benth. adapts to rhizobia populations with differential taxonomy and symbiotic effectiveness outside of its location of origin,FEMS MICROBIOLOGY ECOLOGY,2019,95,10.1093/femsec/fiz109,me,maybe,,
"Mescioglu, E; Rahav, E; Belkin, N; Xian, P; Eizenga, JM; Vichik, A; Herut, B; Paytan, A",Aerosol Microbiome over the Mediterranean Sea Diversity and Abundance,ATMOSPHERE,2019,10,10.3390/atmos10080440,me,YES,,
"Olli, K; Ptacnik, R; Klais, R; Tamminen, T",Phytoplankton Species Richness along Coastal and Estuarine Salinity Continua,AMERICAN NATURALIST,2019,194,10.1086/703657,me,maybe,,
"Staebe, K; Meiklejohn, KI; Singh, SM; Matcher, GF","Biogeography of soil bacterial populations in the Jutulsessen and Ahlmannryggen of Western Dronning Maud Land, Antarctica",POLAR BIOLOGY,2019,42,10.1007/s00300-019-02532-1,me,YES,,
"Chen, DM; Saleem, M; Cheng, JH; Mi, J; Chu, PF; Tuvshintogtokh, I; Hu, SJ; Bai, YF",Effects of aridity on soil microbial communities and functions across soil depths on the Mongolian Plateau,FUNCTIONAL ECOLOGY,2019,33,10.1111/1365-2435.13359,me,maybe,,
"Ahlgren, NA; Perelman, JN; Yeh, YC; Fuhrman, JA","Multi-year dynamics of fine-scale marine cyanobacterial populations are more strongly explained by phage interactions than abiotic, bottom-up factors",ENVIRONMENTAL MICROBIOLOGY,2019,21,10.1111/1462-2920.14687,me,maybe,,
"Gao, Q; Yang, YF; Feng, JJ; Tian, RM; Guo, X; Ning, DL; Hale, LR; Wang, MM; Cheng, JM; Wu, LW; Zhao, MX; Zhao, JS; Wu, LY; Qin, YJ; Qi, Q; Liang, YT; Sun, B; Chu, HY; Zhou, JZ",The spatial scale dependence of diazotrophic and bacterial community assembly in paddy soil,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2019,28,10.1111/geb.12917,me,YES,,
"Frindte, K; Pape, R; Werner, K; Loffler, J; Knief, C",Temperature and soil moisture control microbial community composition in an arctic-alpine ecosystem along elevational and micro-topographic gradients,ISME JOURNAL,2019,13,10.1038/s41396-019-0409-9,me,YES,,
"Averill, C; Cates, LL; Dietze, MC; Bhatnagar, JM",Spatial vs. temporal controls over soil fungal community similarity at continental and global scales,ISME JOURNAL,2019,13,10.1038/s41396-019-0420-1,me,YES,,
"Liu, J; Tu, T; Gao, GH; Bartlam, M; Wang, YY",Biogeography and Diversity of Freshwater Bacteria on a River Catchment Scale,MICROBIAL ECOLOGY,2019,78,10.1007/s00248-019-01323-9,me,YES,,
"Gupta, VVSR; Bramley, RGV; Greenfield, P; Yu, J; Herderich, MJ",Vineyard Soil Microbiome Composition Related to Rotundone Concentration in Australian Cool Climate Peppery Shiraz Grapes,FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.01607,me,maybe,,
,"Functional Traits and Spatio-Temporal Structure of a Major Group of Soil Protists (Rhizaria: Cercozoa) in a Temperate Grassland (vol 10, 1332, 2019)",FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.01654,me,maybe,,
"Wu, KY; Zhao, WQ; Wang, Q; Yang, XD; Zhu, LF; Shen, J; Cheng, XY; Wang, JJ","The Relative Abundance of Benthic Bacterial Phyla Along a Water-Depth Gradient in a Plateau Lake: Physical, Chemical, and Biotic Drivers",FRONTIERS IN MICROBIOLOGY,2019,10,10.3389/fmicb.2019.01521,me,maybe,,
"Liu, KS; Hou, JZ; Liu, YQ; Hu, AY; Wang, MD; Wang, F; Chen, YY; Gu, ZQ",Biogeography of the free-living and particle-attached bacteria in Tibetan lakes,FEMS MICROBIOLOGY ECOLOGY,2019,95,10.1093/femsec/fiz088,me,YES,,
"Bartelme, RP; Smith, MC; Sepulveda-Villet, OJ; Newton, RJ",Component Microenvironments and System Biogeography Structure Microorganism Distributions in Recirculating Aquaculture and Aquaponic Systems,MSPHERE,2019,4,10.1128/mSphere.00143-19,me,maybe,,
"Mulholland, MR; Bernhardt, PW; Widner, BN; Selden, CR; Chappell, PD; Clayton, S; Mannino, A; Hyde, K","High Rates of N-2 Fixation in Temperate, Western North Atlantic Coastal Waters Expand the Realm of Marine Diazotrophy",GLOBAL BIOGEOCHEMICAL CYCLES,2019,33,10.1029/2018GB006130,me,maybe,,
