"authors","title","journal","abstract","year","vol","DOI","reviewer","screened"
"Hu, AY; Wang, HJ; Cao, MX; Rashid, A; Li, MF; Yu, CP","Environmental Filtering Drives the Assembly of Habitat Generalists and Specialists in the Coastal Sand Microbial Communities of Southern China","MICROORGANISMS","Coastal sands harbor diverse microbial assemblages that play a critical role in the biogeochemical cycling of beach ecosystems. However, little is known about the relative importance of the different ecological processes underlying the assembly of communities of sand microbiota. Here, we employed 16S rDNA amplicon sequencing to investigate the sand microbiota of two coastal beaches, in southern China. The results showed that sand microbial assemblages at intertidal and supratidal zones exhibited contrasting compositions that can be attributed to environmental filtering by electric conductivity. A consistent pattern of habitat generalists and specialists of sand microbiota was observed among different beach zones. Null and neutral model analyses indicated that the environmental filtering was mainly responsible for supratidal microbial communities, while the neutral processes could partially influence the assembly of intertidal communities. Moreover, environmental filtering was found to shape the habitat specialists, while random dispersal played a major role in shaping generalists. The neutral model analysis revealed that the habitat generalists exceeding the neutral prediction harbored a relatively higher proportion of microbial taxa than the specialist counterparts. An opposite pattern was observed for taxa falling below the neutral prediction. Collectively, these findings offer a novel insight into the assembly mechanisms of coastal sand microbiota.","2019","7","10.3390/microorganisms7120598","me","YES"
"Kioroglou, D; Kraeva-Deloire, E; Schmidtke, LM; Mas, A; Portillo, MC","Geographical Origin Has a Greater Impact on Grape Berry Fungal Community than Grape Variety and Maturation State","MICROORGANISMS","We used barcoded sequencing to analyze the eukaryotic population in the grape berries at different ripening states in four Australian vineyards. Furthermore, we used an innovative compositional data analysis for assessing the diversity of microbiome communities. The novelty was the introduction of log-ratio balances between the detected genera. Altogether, our results suggest that fungal communities were more impacted by the geographical origin of the Australian vineyards than grape variety and harvest time. Even if the most abundant genera were Aureobasidium and Mycosphaerella, they were ubiquitous to all samples and were not discriminative. In fact, the balances and the fungal community structure seemed to be greatly affected by changes of the genera Penicillium, Colletotrichum, Aspergillus, Rhodotorula, and Botrytis. These results were not evident from the comparison of relative abundance based on OTU counts alone, remarking the importance of the balance analysis for microbiome studies.","2019","7","10.3390/microorganisms7120669","me","YES"
"Esposito, A; Borruso, L; Rattray, JE; Brusetti, L; Ahmed, E","Taxonomic and functional insights into rock varnish microbiome using shotgun metagenomics","FEMS MICROBIOLOGY ECOLOGY","Rock varnish is a microbial habitat, characterised by thin (5-500 mu m) and shiny coatings of iron (Fe) and manganese (Mn) oxides associated with clay minerals. This structure is well studied by geologists, and recently there have been reports about the taxonomical composition of its microbiome. In this study, we investigated the rock varnish microbiome using shotgun metagenomics together with analyses of elemental composition, lipid and small molecule biomarkers, and rock surface analyses to explore the biogeography of microbial communities and their functional features. We report taxa and encoded functions represented in metagenomes retrieved from varnish or non-varnish samples, additionally, eight nearly complete genomes have been reconstructed spanning four phyla (Acidobacteria, Actinobacteria, Chloroflexi and TM7). The functional and taxonomic analyses presented in this study provide new insights into the ecosystem dynamics and survival strategies of microbial communities inhabiting varnish and non-varnish rock surfaces.","2019","95","10.1093/femsec/fiz180","me","maybe"
"Wang, CY; Zhou, X; Guo, D; Zhao, JH; Yan, L; Feng, GZ; Gao, Q; Yu, H; Zhao, LP","Soil pH is the primary factor driving the distribution and function of microorganisms in farmland soils in northeastern China","ANNALS OF MICROBIOLOGY","Purpose To understand which environmental factors influence the distribution and ecological functions of bacteria in agricultural soil. Method A broad range of farmland soils was sampled from 206 locations in Jilin province, China. We used 16S rRNA gene-based Illumina HiSeq sequencing to estimated soil bacterial community structure and functions. Result The dominant taxa in terms of abundance were found to be, Actinobacteria, Acidobacteria, Gemmatimonadetes, Chloroflexi, and Proteobacteria. Bacterial communities were dominantly affected by soil pH, whereas soil organic carbon did not have a significant influence on bacterial communities. Soil pH was significantly positively correlated with bacterial operational taxonomic unit abundance and soil bacterial alpha-diversity (P<0.05) spatially rather than with soil nutrients. Bacterial functions were estimated using FAPROTAX, and the relative abundance of anaerobic and aerobic chemoheterotrophs, and nitrifying bacteria was 27.66%, 26.14%, and 6.87%, respectively, of the total bacterial community. Generally, the results indicate that soil pH is more important than nutrients in shaping bacterial communities in agricultural soils, including their ecological functions and biogeographic distribution.","2019","69","10.1007/s13213-019-01529-9","me","YES"
"Neal, AL; Glendining, MJ","Calcium exerts a strong influence upon phosphohydrolase gene abundance and phylogenetic diversity in soil","SOIL BIOLOGY & BIOCHEMISTRY","The mechanisms by which microbial communities maintain functions within the context of changing environments are key to a wide variety of environmental processes. In soil, these mechanisms support fertility. Genes associated with hydrolysis of organic phosphoesters represent an interesting set of genes with which to study maintenance of function in microbiomes. Here, we shown that the richness of ecotypes for each gene varies considerably in response to application of manure and various inorganic fertilizer combinations. We show, at unprecedented phylogenetic resolution, that phylogenetic diversity of phosphohydrolase genes are more responsive to soil management and edaphic factors than the taxonomic biomarker 16S rRNA gene. Available phosphorus - assessed by measuring Olsen-P - exerted some influence on alkaline phosphatase distribution: however, consistent and significant differences were observed in gene abundance between treatments that were inconsistent with bioavailable orthophosphate being the dominant factor determining gene abundance. Instead, we observed gene niche separation which was most strongly associated with soil exchangeable calcium. Our study suggests that the bioavailability of enzyme cofactors (exchangeable calcium in the case of phoD, phoX and beta PPhy studied here) influence the abundance of genes in soil microbial communities; in the absence of cofactors, genes coding for alternative enzyme families that do not require the limiting cofactor (for example, non-specific acid phosphatases which require vanadate) become more abundant.","2019","139","10.1016/j.soilbio.2019.107613","me","maybe"
"Aarnio, S; Teittinen, A; Soininen, J","High diatom species turnover in a Baltic Sea rock pool metacommunity","MARINE BIODIVERSITY","Different metacommunity perspectives have been developed to describe the relationship between environmental and spatial factors and their relative roles for local communities. However, only little is known about temporal variation in metacommunities and their underlying drivers. We examined temporal variation in the relative roles of environmental and spatial factors for diatom community composition among brackish-watered rock pools on the Baltic Sea coast over a 3-month period. We used a combination of direct ordination, variation partition, and Mantel tests to investigate the metacommunity patterns. The studied communities housed a mixture of freshwater, brackish, and marine species, with a decreasing share of salinity tolerant species along both temporal and spatial gradients. The community composition was explained by both environmental and spatial variables (especially conductivity and distance from the sea) in each month; the joint effect of these factors was consistently larger than the pure effects of either variable group. Community similarity was related to both environmental and spatial distance between the pools even when the other variable group was controlled for. The relative influence of environmental factors increased with time, accounting for the largest share of the variation in species composition and distance decay of similarity in July. Metacommunity organization in the studied rock pools was probably largely explained by a combination of species sorting and mass effect given the small spatial study scale. The found strong distance decay of community similarity indicates spatially highly heterogeneous diatom communities mainly driven by temporally varying conductivity gradient at the marine-freshwater transition zone.","2019","49","10.1007/s12526-019-01016-z","me","YES"
"Wu, LW; Ning, DL; Zhang, B; Li, Y; Zhang, P; Shan, XY; Zhang, QT; Brown, MR; Li, ZX; Van Nostrand, JD; Ling, FQ; Xiao, NJ; Zhang, Y; Vierheilig, J; Wells, GF; Yang, YF; Deng, Y; Tu, QC; Wang, AJ; Zhang, T; He, ZL; Keller, J; Nielsen, PH; Alvarez, PJJ; Criddle, CS; Wagner, M; Tiedje, JM; He, Q; Curtis, TP; Stahl, DA; Alvarez-Cohen, L; Rittmann, BE; Wen, XH; Zhou, JZ","Global diversity and biogeography of bacterial communities in wastewater treatment plants (vol 4, pg 1183, 2019)","NATURE MICROBIOLOGY","","2019","4","10.1038/s41564-019-0617-0","me","YES"
"Kaestli, M; Munksgaard, N; Gibb, K; Davis, J","Microbial diversity and distribution differ between water column and biofilm assemblages in arid-land waterbodies","FRESHWATER SCIENCE","Almost 1/2 of the worlds land area comprises arid biomes where rainfall is very low (<500 mm/y) and potential evaporation is high. Sparsely-distributed freshwater systems in arid central Australia provide important refuges for mobile species and act as biotic reservoirs under adverse conditions. Some of these perennial systems are also evolutionary refugia that support relictual insects. Microbes play an important role in driving aquatic biogeochemical processes, but little is known about their composition and spatial patterns in and across these arid landscapes. Here we sought to assess the diversity and spatial distribution of aquatic Bacteria and Archaea in arid Australian waterbodies. We used 16s-rRNA gene amplicon sequencing to analyze the structure of microbial assemblages in biofilms and the water column from 8 waterbodies along a geographic axis across 2 drainage divisions. We used isotope hydrology to differentiate between groundwater-dominated waterbodies and those fed by surface water. We tested predictions and used metacommunity theory to explore spatial patterns between water column and biofilm microbiota, between perennial and temporary waterbodies, and between groundwater-fed and surface water-fed systems. We found greater similarity between assemblages of water column microbiota than those of the benthic biofilms. The spatial distributions of water column and biofilm assemblages were best explained by different metacommunity concepts. Distance decay matched the composition of the water column microbiota, whereas species sorting appeared to drive the composition of biofilm assemblages. The latter showed considerable within-site variability, changing with the type of benthic substrate present. Electrical conductivity and pH partly explained the composition of the water column and biofilm microbial assemblages, but only the water column microbiota was associated with the aquatic isotopic signatures. No distinctive microbiota were associated with perennial, groundwater-dominated sites previously identified as evolutionary refugia for aquatic insects. Temporary waterbodies contained significantly more heat and arid resilient microbial taxa commonly found in soils. Further investigation of temporal dynamics is now needed to determine how arid land aquatic microbiota might change under a warming climate.","2019","38","10.1086/706106","me","YES"
"Zhao, JS; Gao, Q; Zhou, JZ; Wang, MM; Liang, YT; Sun, B; Chu, HY; Yang, YF","The scale dependence of fungal community distribution in paddy soil driven by stochastic and deterministic processes","FUNGAL ECOLOGY","Fungal communities play important roles in terrestrial ecosystem functioning. Unraveling the relative importance of stochastic versus deterministic processes in shaping biogeographic patterns of fungal communities has long been a challenge in microbial ecology, owing to high biodiversity and difficulties in identifying fungal taxa. Using a unique anthropogenic system of geographically isolated paddy islands, we collected 198 soil samples with a spatially explicit design to examine how ecological processes shaped fungal biogeographic patterns. Fungal community structure showed scale-dependent distance-decay relationships. Stochastic processes (dispersal and drift) contributed more to community assembly than deterministic processes (selection) at the local scale, which was largely attributed to drift. In contrast, deterministic processes contributed more to community assembly than stochastic processes at the regional scale, with soil dissolved organic carbon being the most important measured factor. Collectively, scale dependence of fungal biogeographical patterns in paddy soils is influenced by differential contribution of deterministic and stochastic processes. (C) 2019 Elsevier Ltd and British Mycological Society. All rights reserved.","2019","42","10.1016/j.funeco.2019.07.010","me","YES"
"Perez-Carrascal, OM; Terrat, Y; Giani, A; Fortin, N; Greer, CW; Tromas, N; Shapiro, BJ","Coherence of Microcystis species revealed through population genomics","ISME JOURNAL","Microcystis is a genus of freshwater cyanobacteria, which causes harmful blooms in ecosystems worldwide. Some Microcystis strains produce harmful toxins such as microcystin, impacting drinking water quality. Microcystis colony morphology, rather than genetic similarity, is often used to classify Microcystis into morphospecies. Yet colony morphology is a plastic trait, which can change depending on environmental and laboratory culture conditions, and is thus an inadequate criterion for species delineation. Furthermore, Microcystis populations are thought to disperse globally and constitute a homogeneous gene pool. However, this assertion is based on relatively incomplete characterization of Microcystis genomic diversity. To better understand these issues, we performed a population genomic analysis of 33 newly sequenced genomes mainly from Canada and Brazil. We identified 17 Microcystis clusters of genomic similarity, five of which correspond to monophyletic clades containing at least three newly sequenced genomes. Four out of these five clades match to named morphospecies. Notably, M. aeruginosa is paraphyletic, distributed across 12 genomic clusters, suggesting it is not a coherent species. A few clades of closely related isolates are specific to a unique geographic location, suggesting biogeographic structure over relatively short evolutionary time scales. Higher homologous recombination rates within than between clades further suggest that monophyletic groups might adhere to a Biological Species-like concept, in which barriers to gene flow maintain species distinctness. However, certain genes-including some involved in microcystin and micropeptin biosynthesis-are recombined between monophyletic groups in the same geographic location, suggesting local adaptation.","2019","13","10.1038/s41396-019-0481-1","me","NO"
"Klinges, JG; Rosales, SM; McMinds, R; Shaver, EC; Shantz, AA; Peters, EC; Eitel, M; Worheide, G; Sharp, KH; Burkepile, DE; Silliman, BR; Thurber, RLV","Phylogenetic, genomic, and biogeographic characterization of a novel and ubiquitous marine invertebrate-associated Rickettsiales parasite, Candidatus Aquarickettsia rohweri, gen. nov., sp. nov","ISME JOURNAL","Bacterial symbionts are integral to the health and homeostasis of invertebrate hosts. Notably, members of the Rickettsiales genus Wolbachia influence several aspects of the fitness and evolution of their terrestrial hosts, but few analogous partnerships have been found in marine systems. We report here the genome, phylogenetics, and biogeography of a ubiquitous and novel Rickettsiales species that primarily associates with marine organisms. We previously showed that this bacterium was found in scleractinian corals, responds to nutrient exposure, and is associated with reduced host growth and increased mortality. This bacterium, like other Rickettsiales, has a reduced genome indicative of a parasitic lifestyle. Phylogenetic analysis places this Rickettsiales within a new genus we define as Candidatus Aquarickettsia. Using data from the Earth Microbiome Project and SRA databases, we also demonstrate that members of Ca. Aquarickettsia are found globally in dozens of invertebrate lineages. The coral-associated Candidatus A. rohweri is the first finished genome in this new Glade. Ca. A. rohweri lacks genes to synthesize most sugars and amino acids but possesses several genes linked to pathogenicity including Tlc, an antiporter that exchanges host ATP for ADP, and a complete Type IV secretion system. Despite its inability to metabolize nitrogen, Ca. A. rohweri possesses the NtrY-NtrX two-component system involved in sensing and responding to extracellular nitrogen. Given these data, along with visualization of the parasite in host tissues, we hypothesize that Ca. A. rohweri reduces coral health by consuming host nutrients and energy, thus weakening and eventually killing host cells. Last, we hypothesize that nutrient enrichment, which is increasingly common on coral reefs, encourages unrestricted growth of Ca. A. rohweri in its host by providing abundant N-rich metabolites to be scavenged.","2019","13","10.1038/s41396-019-0482-0","me","NO"
"Zeng, QC; Jia, PL; Wang, Y; Wang, HL; Li, CC; An, SS","The local environment regulates biogeographic patterns of soil fungal communities on the Loess Plateau","CATENA","Soil fungi play critical ecological roles in terrestrial ecosystem function, soil formation and element cycles. However, the biogeography of soil fungi in the forest ecosystem is poorly understand, especially in arid or semiarid areas. Here, a regional scale study in an arid area was conducted on the Loess Plateau to illustrate the geographic distributions of soil fungi and their driving forces. The results showed that Ascomycota, Basidiomycota and Zygomycota were the most dominant phyla in 24 sample sites. Fungal Shannon diversity and OTUs richness were significantly correlated with mean annual precipitation (MAP), total soil nitrogen (TN), ammonium nitrogen (NH4N) and soil organic carbon (SOC) levels. The decay-curve analysis demonstrated that soil fungal Bray-Cutis dissimilarities were significantly regressed with geographic distance, revealing that the soil fungal community structure was affected by historical factors. Variation partitioning analysis revealed that the soil properties (15%) contributed more to the fungal community variations than geographic distance (9%). Additionally, there were many predictors of soil fungi geography that were not detected. These results suggest that the fungal geography on the Loess Plateau is mainly regulated by soil properties or other unmeasured variables. Such findings advance our understanding of fungal diversity patterns on the Loess Plateau, which will help us better understand the functions and services in underground ecosystems in arid areas.","2019","183","10.1016/j.catena.2019.104220","me","YES"
