AU	TI	SO	AB	PY	VL	DI
Stegen, JC; Lin, XJ; Fredrickson, JK; Konopka, AE	Estimating and mapping ecological processes influencing microbial community assembly	FRONTIERS IN MICROBIOLOGY	Ecological community assembly is governed by a combination of (i) selection resulting from among-taxa differences in performance; (ii) dispersal resulting from organismal movement; and (iii) ecological drift resulting from stochastic changes in population sizes. The relative importance and nature of these processes can vary across environments. Selection can be homogeneous or variable, and while dispersal is a rate, we conceptualize extreme dispersal rates as two categories; dispersal limitation results from limited exchange of organisms among communities, and homogenizing dispersal results from high levels of organism exchange. To estimate the influence and spatial variation of each process we extend a recently developed statistical framework, use a simulation model to evaluate the accuracy of the extended framework, and use the framework to examine subsurface microbial communities over two geologic formations. For each subsurface community we estimate the degree to which it is influenced by homogeneous selection, variable selection, dispersal limitation, and homogenizing dispersal. Our analyses revealed that the relative influences of these ecological processes vary substantially across communities even within a geologic formation. We further identify environmental and spatial features associated with each ecological process, which allowed mapping of spatial variation in ecological-process-influences. The resulting maps provide a new lens through which ecological systems can be understood; in the subsurface system investigated here they revealed that the influence of variable selection was associated with the rate at which redox conditions change with subsurface depth.	2015	6	10.3389/fmicb.2015.00370
Pautasso, M; Schlegel, M; Holdenrieder, O	Forest Health in a Changing World	MICROBIAL ECOLOGY	Forest pathology, the science of forest health and tree diseases, is operating in a rapidly developing environment. Most importantly, global trade and climate change are increasing the threat to forest ecosystems posed by new diseases. Various studies relevant to forest pathology in a changing world are accumulating, thus making it necessary to provide an update of recent literature. In this contribution, we summarize research at the interface between forest pathology and landscape ecology, biogeography, global change science and research on tree endophytes. Regional outbreaks of tree diseases are requiring interdisciplinary collaboration, e.g. between forest pathologists and landscape ecologists. When tree pathogens are widely distributed, the factors determining their broad-scale distribution can be studied using a biogeographic approach. Global change, the combination of climate and land use change, increased pollution, trade and urbanization, as well as invasive species, will influence the effects of forest disturbances such as wildfires, droughts, storms, diseases and insect outbreaks, thus affecting the health and resilience of forest ecosystems worldwide. Tree endophytes can contribute to biological control of infectious diseases, enhance tolerance to environmental stress or behave as opportunistic weak pathogens potentially competing with more harmful ones. New molecular techniques are available for studying the complete tree endobiome under the influence of global change stressors from the landscape to the intercontinental level. Given that exotic tree diseases have both ecologic and economic consequences, we call for increased interdisciplinary collaboration in the coming decades between forest pathologists and researchers studying endophytes with tree geneticists, evolutionary and landscape ecologists, biogeographers, conservation biologists and global change scientists and outline interdisciplinary research gaps.	2015	69	10.1007/s00248-014-0545-8
Terrat, S; Dequiedt, S; Horrigue, W; Lelievre, M; Cruaud, C; Saby, NPA; Jolivet, C; Arrouays, D; Maron, PA; Ranjard, L; Prevost-Boure, NC	Improving soil bacterial taxa-area relationships assessment using DNA meta-barcoding	HEREDITY	The evaluation of the taxa-area relationship (TAR) with molecular fingerprinting data demonstrated the spatial structuration of soil microorganisms and provided insights into the processes shaping their diversity. The increasing use of massive sequencing technologies in biodiversity investigations has now raised the question of the advantages of such technologies over the fingerprinting approach for elucidation of the determinism of soil microbial community assembly in broad-scale biogeographic studies. Our objectives in this study were to compare DNA fingerprinting and meta-barcoding approaches for evaluating soil bacterial TAR and the determinism of soil bacterial community assembly on a broad scale. This comparison was performed on 392 soil samples from four French geographic regions with different levels of environmental heterogeneity. Both molecular approaches demonstrated a TAR with a significant slope but, because of its more sensitive description of soil bacterial community richness, meta-barcoding provided significantly higher and more accurate estimates of turnover rates. Both approaches were useful in evidencing the processes shaping bacterial diversity variations on a broad scale. When different taxonomic resolutions were considered for meta-barcoding data, they significantly influenced the estimation of turnover rates but not the relative importance of each component process. Altogether, DNA meta-barcoding provides a more accurate evaluation of the TAR and may lead to re-examination of the processes shaping soil bacterial community assembly. This should provide new insights into soil microbial ecology in the context of sustainable use of soil resources.	2015	114	10.1038/hdy.2014.91
Birtel, J; Walser, JC; Pichon, S; Burgmann, H; Matthews, B	Estimating Bacterial Diversity for Ecological Studies: Methods, Metrics, and Assumptions	PLOS ONE	Methods to estimate microbial diversity have developed rapidly in an effort to understand the distribution and diversity of microorganisms in natural environments. For bacterial communities, the 16S rRNA gene is the phylogenetic marker gene of choice, but most studies select only a specific region of the 16S rRNA to estimate bacterial diversity. Whereas biases derived from from DNA extraction, primer choice and PCR amplification are well documented, we here address how the choice of variable region can influence a wide range of standard ecological metrics, such as species richness, phylogenetic diversity, beta-diversity and rank-abundance distributions. We have used Illumina paired-end sequencing to estimate the bacterial diversity of 20 natural lakes across Switzerland derived from three trimmed variable 16S rRNA regions (V3, V4, V5). Species richness, phylogenetic diversity, community composition, beta-diversity, and rank-abundance distributions differed significantly between 16S rRNA regions. Overall, patterns of diversity quantified by the V3 and V5 regions were more similar to one another than those assessed by the V4 region. Similar results were obtained when analyzing the datasets with different sequence similarity thresholds used during sequences clustering and when the same analysis was used on a reference dataset of sequences from the Greengenes database. In addition we also measured species richness from the same lake samples using ARISA Fingerprinting, but did not find a strong relationship between species richness estimated by Illumina and ARISA. We conclude that the selection of 16S rRNA region significantly influences the estimation of bacterial diversity and species distributions and that caution is warranted when comparing data from different variable regions as well as when using different sequencing techniques.	2015	10	10.1371/journal.pone.0125356
Grattepanche, JD; Santoferrara, LF; McManus, GB; Katz, LA	Distinct assemblage of planktonic ciliates dominates both photic and deep waters on the New England shelf	MARINE ECOLOGY PROGRESS SERIES	Microbes are critical members of marine ecosystems, given their roles as both primary producers and consumers in food webs. Despite their importance, data on biogeographical patterns of microbial eukaryotes are limited. Past studies have generally targeted either all eukaryotes or broad clades like Rhizaria and Alveolata. For this study, we focus more narrowly on oligotrich and choreotrich ciliates (both members of the class Spirotrichea) as these lineages play major roles in marine food webs. We assess distribution patterns of abundant ciliate community members along a 163 km transect off the coast of New England, USA. Over 3 d, we sampled ciliates at 23 stations from shallow waters (<30 m depth) to beyond the continental shelf (>800 m). We used a community DNA fingerprinting technique, denaturing gradient gel electropho resis (DGGE), to assess patterns for abundant community members and found 2 overlapping assemblages of ciliates: one common in samples from inshore to offshore (up to 180 km from the coast) and from the surface to 850 m deep; and a second that is generally restricted to offshore waters. The distributions of these 2 assemblages correspond with distance from the coast but not with the environmental factors that we measured, including depth, temperature, degree of stratification, phytoplankton fluorescence and accessory pigment composition (a proxy for phytoplankton composition). The presence of these ciliate assemblages as deep as 850 m suggests they may have a broader impact on marine food webs than just photic zone herbivory.	2015	526	10.3354/meps11256
Liu, J; Wang, JN; Gao, GH; Bartlam, MG; Wang, YY	Distribution and diversity of fungi in freshwater sediments on a river catchment scale	FRONTIERS IN MICROBIOLOGY	Fungal communities perform essential functions in biogeochemical cycles. However, knowledge of fungal community structural changes in river ecosystems is still very limited. In the present study, we combined culture-dependent and culture-independent methods to investigate fungal distribution and diversity in sediment on a regional scale in the Songhua River catchment, located in North-East Asia. A total of 147 samples over the whole river catchment were analyzed. The results showed that compared to the mainstream, the tributaries have a higher fungal community organization and culturable fungal concentration, but possess lower community dynamics as assessed by denaturing gradient gel electrophoresis (DGGE). Furthermore, phylogenetic analysis of DGGE bands showed that Ascomycota and Basidiomycota were the predominant community in the Songhua River catchment. Redundancy analysis revealed that longitude was the primary factor determining the variation of fungal community structure, and fungal biomass was mainly related to the total nutrient content. Our findings provide new insights into the characteristics of fungal community distribution in a temperate zone river at a regional scale, and demonstrate that fungal dispersal is restricted by geographical barriers in a whole river catchment.	2015	6	10.3389/fmicb.7015.00329
Kim, Y; Liesack, W	Differential Assemblage of Functional Units in Paddy Soil Microbiomes	PLOS ONE	Flooded rice fields are not only a global food source but also a major biogenic source of atmospheric methane. Using metatranscriptomics, we comparatively explored structural and functional succession of paddy soil microbiomes in the oxic surface layer and anoxic bulk soil. Cyanobacteria, Fungi, Xanthomonadales, Myxococcales, and Methylococcales were the most abundant and metabolically active groups in the oxic zone, while Clostridia, Actinobacteria, Geobacter, Anaeromyxobacter, Anaerolineae, and methanogenic archaea dominated the anoxic zone. The protein synthesis potential of these groups was about 75% and 50% of the entire community capacity, respectively. Their structure-function relationships in microbiome succession were revealed by classifying the protein-coding transcripts into core, non-core, and taxon-specific transcripts based on homologous gene distribution. The differential expression of core transcripts between the two microbiomes indicated that structural succession is primarily governed by the cellular ability to adapt to the given oxygen condition, involving oxidative stress, nitrogen/phosphorus metabolism, and fermentation. By contrast, the non-core transcripts were expressed from genes involved in the metabolism of various carbon sources. Among those, taxon-specific transcripts revealed highly specialized roles of the dominant groups in community-wide functioning. For instance, taxon-specific transcripts involved in photosynthesis and methane oxidation were a characteristic of the oxic zone, while those related to methane production and aromatic compound degradation were specific to the anoxic zone. Degradation of organic matters, antibiotics resistance, and secondary metabolite production were detected to be expressed in both the oxic and anoxic zones, but by different taxonomic groups. Cross-feeding of methanol between members of the Methylococcales and Xanthomonadales was suggested by the observation that in the oxic zone, they both exclusively expressed homologous genes encoding methanol dehydrogenase. Our metatranscriptomic analysis suggests that paddy soil microbiomes act as complex, functionally coordinated assemblages whose taxonomic composition is governed by the prevailing habitat factors and their hierarchical importance for community succession.	2015	10	10.1371/journal.pone.0122221
Miyashita, NT	Contrasting soil bacterial community structure between the phyla Acidobacteria and Proteobacteria in tropical Southeast Asian and temperate Japanese forests	GENES & GENETIC SYSTEMS	Soil bacterial community structures of six dominant phyla (Acidobacteria, Proteobacteria, Verrucomicrobia, Planctomycetes, Bacteroidetes and Actinobacteria) and unclassified bacteria detected in tropical Sarawakian and temperate Japanese forests were compared based on 16S rRNA gene sequence variation. The class composition in each phylum was similar among the studied forests; however, significant heterogeneities of class frequencies were detected. Acidobacteria and Proteobacteria were the most dominant phyla in all six forests, but differed in the level of bacterial species diversity, pattern of species occurrence and association pattern of species composition with physicochemical properties in soil. Species diversity among Acidobacteria was approximately half that among Proteobacteria, based on the number of clusters and the Chaol index, even though a similar number of sequence reads were obtained for these two phyla. In contrast, species diversity within Planctomycetes and Bacteroidetes was nearly as high as within Acidobacteria, despite many fewer sequence reads. The density of species (the number of sequence reads per cluster) correlated negatively with species diversity, and species density within Acidobacteria was approximately twice that within Proteobacteria. Although the percentage of forest-specific species was high for all bacterial groups, sampling site-specific species varied among bacterial groups, indicating limited inter-forest migration and differential movement of bacteria in forest soil. For five of the seven bacterial groups, including Acidobacteria, soil pH appeared to strongly influence species composition, but this association was not observed for Proteobacterial species. Topology of UPGMA trees and pattern of NMDS plots among the forests differed among the bacterial groups, suggesting that each bacterial group has adapted and evolved independently in each forest.	2015	90	
Kammerlander, B; Breiner, HW; Filker, S; Sommaruga, R; Sonntag, B; Stoeck, T	High diversity of protistan plankton communities in remote high mountain lakes in the European Alps and the Himalayan mountains	FEMS MICROBIOLOGY ECOLOGY	We analyzed the genetic diversity (V4 region of the 18S rRNA) of planktonic microbial eukaryotes in four high mountain lakes including two remote biogeographic regions (the Himalayan mountains and the European Alps) and distinct habitat types (clear and glacier-fed turbid lakes). The recorded high genetic diversity in these lakes was far beyond of what is described from high mountain lake plankton. In total, we detected representatives from 66 families with the main taxon groups being Alveolata (55.0% OTUs(97%), operational taxonomic units), Stramenopiles (34.0% OTUs(97%)), Cryptophyta (4.0% OTUs(97%)), Chloroplastida (3.6% OTUs(97%)) and Fungi (1.7% OTUs(97%)). Centrohelida, Choanomonada, Rhizaria, Katablepharidae and Telonema were represented by < 1% OTUs(97%). Himalayan lakes harbored a higher plankton diversity compared to the Alpine lakes (Shannon index). Community structures were significantly different between lake types and biogeographic regions (Fisher exact test, P < 0.01). Network analysis revealed that more families of the Chloroplastida (10 vs 5) and the Stramenopiles (14 vs 8) were found in the Himalayan lakes than in the Alpine lakes and none of the fungal families was shared between them. Biogeographic aspects as well as ecological factors such as water turbidity may structure the microbial eukaryote plankton communities in such remote lakes.	2015	91	10.1093/femsec/fiv010
Mares, J; Lara, Y; Dadakova, I; Hauer, T; Uher, B; Wilmotte, A; Kastovsky, J	PHYLOGENETIC ANALYSIS OF CULTIVATION-RESISTANT TERRESTRIAL CYANOBACTERIA WITH MASSIVE SHEATHS (STIGONEMA SPP. AND PETALONEMA ALATUM, NOSTOCALES, CYANOBACTERIA) USING SINGLE-CELL AND FILAMENT SEQUENCING OF ENVIRONMENTAL SAMPLES	JOURNAL OF PHYCOLOGY	Molecular assessment of a large portion of traditional cyanobacterial taxa has been hindered by the failure to isolate and grow them in culture. In this study, we developed an optimized protocol for single cell/filament isolation and 16S rRNA gene sequencing of terrestrial cyanobacteria with large mucilaginous sheaths, and applied it to determine the phylogenetic position of typical members of the genera Petalonema and Stigonema. A methodology based on a glass-capillary isolation technique and a semi-nested PCR protocol enabled reliable sequencing of the 16S rRNA gene from all samples analyzed. Ten samples covering seven species of Stigonema from Europe, North and Central America, and Hawaii, and the type species of Petalonema from Slovakia were sequenced. Contrary to some previous studies, which proposed a relationship with heteropolar nostocalean cyanobacteria, Petalonema appeared to belong to the family Scytonemataceae. Analysis of Stigonema specimens recovered a unique coherent phylogenetic cluster, substantially broadening our knowledge of the molecular diversity within this genus. Neither the uni- to biseriate species nor the multiseriate species formed monophyletic subclusters within the genus. Typical multiseriate species of Stigonema clustered in a phylogenetic branch derived from uni- to biseriate S. ocellatum Thuret ex Bornet & Flahault in our analysis, suggesting that species with more complex thalli may have evolved from the more simple ones. We propose the technique tested in this study as a promising tool for a future revision of the molecular taxonomy in cyanobacteria.	2015	51	10.1111/jpy.12273
Wall, K; Cornell, J; Bizzoco, RW; Kelley, ST	Biodiversity hot spot on a hot spot: novel extremophile diversity in Hawaiian fumaroles	MICROBIOLOGYOPEN	Fumaroles (steam vents) are the most common, yet least understood, microbial habitat in terrestrial geothermal settings. Long believed too extreme for life, recent advances in sample collection and DNA extraction methods have found that fumarole deposits and subsurface waters harbor a considerable diversity of viable microbes. In this study, we applied culture-independent molecular methods to explore fumarole deposit microbial assemblages in 15 different fumaroles in four geographic locations on the Big Island of Hawaii. Just over half of the vents yielded sufficient high-quality DNA for the construction of 16S ribosomal RNA gene sequence clone libraries. The bacterial clone libraries contained sequences belonging to 11 recognized bacterial divisions and seven other division-level phylogenetic groups. Archaeal sequences were less numerous, but similarly diverse. The taxonomic composition among fumarole deposits was highly heterogeneous. Phylogenetic analysis found cloned fumarole sequences were related to microbes identified from a broad array of globally distributed ecotypes, including hot springs, terrestrial soils, and industrial waste sites. Our results suggest that fumarole deposits function as an extremophile collector and may be a hot spot of novel extremophile biodiversity.	2015	4	10.1002/mbo3.236
