	title	journal	abstract	year	volume	DOI	screened	reviewer	access
Zhou JZ; Deng Y; Shen LN; Wen CQ; Yan QY; Ning DL; Qin YJ; Xue K; Wu LY; He ZL; Voordeckers JW; Van Nostrand JD; Buzzard V; Michaletz ST; Enquist BJ; Weiser MD; Kaspari M; Waide R; Yang YF; Brown JH	Temperature mediates continental-scale diversity of microbes in forest soils	NATURE COMMUNICATIONS	Climate warming is increasingly leading to marked changes in plant and animal biodiversity, but it remains unclear how temperatures affect microbial biodiversity, particularly in terrestrial soils. Here we show that, in accordance with metabolic theory of ecology, taxonomic and phylogenetic diversity of soil bacteria, fungi and nitrogen fixers are all better predicted by variation in environmental temperature than pH. However, the rates of diversity turnover across the global temperature gradients are substantially lower than those recorded for trees and animals, suggesting that the diversity of plant, animal and soil microbial communities show differential responses to climate change. To the best of our knowledge, this is the first study demonstrating that the diversity of different microbial groups has significantly lower rates of turnover across temperature gradients than other major taxa, which has important implications for assessing the effects of human-caused changes in climate, land use and other factors.	2016	7	10.1038/ncomms12083	YES	Dave	
Stumpf RM; Gomez A; Amato KR; Yeoman CJ; Polk JD; Wilson BA; Nelson KE; White BA; Leigh SR	Microbiomes, metagenomics, and primate conservation: New strategies, tools, and applications	BIOLOGICAL CONSERVATION	Conservation strategies require multifaceted approaches to monitor and protect primate populations, many of which are rapidly declining around the world. We propose that microbial ecology and next-generation microbiome analyses offer valuable perspectives and tools for investigating and monitoring primate health and improving conservation efforts. The microbial communities inhabiting primates and other taxa profoundly affect host health, nutrition, physiology, and immune systems, through relationships that range from commensal and mutualistic to pathogenic. Recent advances in DNA sequencing now make it feasible and-economically viable to identify microbiomes among and within hosts. Herein, we highlight several examples in which microbial analyses of primates can aid conservation approaches that are broadly applicable across other taxa. First, we highlight evidence for clear spatial variation (e.g. biogeographic niche specificity, both within the anatomical regions of the host body, as well as in the geographic location of the host) and temporal (e.g. seasonal, ontogenetic) patterns in microbial distribution. We emphasize that microbial communities are sensitive to alterations in the external environment and that microbial diversity correlates with habitat quality, imposing direct health consequences. Incorporating microbial host and biogeographic variation holds great potential for forest corridor assessments and for reintroduction efforts. Finally, microbial pathogens transmitted between humans and wild primate populations carry both direct and indirect conservation implications. Principally, we argue that phylogenetic analyses of infectious pathogens (e.g., Ebola, dengue, Borellia, and Treponema) can aid our understanding of modes of disease transmission and aid conservation disease abatement efforts. The application of microbial analyses to conservation is currently in its infancy but holds enormous potential. To date, no conservation policy or legislation includes microbiome assessments. Integrating new understanding of the patterns of microbial diversity and early signs of impending microbial disruption offer valuable tools for informing conservation strategies and monitoring and promoting primate (including human) health. (C) 2016 Elsevier Ltd. All rights reserved.	2016	199	10.1016/j.biocon.2016.03.035	MAYBE	Dave	
Comte J; Monier A; Crevecoeur S; Lovejoy C; Vincent WF	Microbial biogeography of permafrost thaw ponds across the changing northern landscape	ECOGRAPHY	Microbial diversity varies at multiple spatial scales, but little is known about how climate change may influence this variation. Here we assessed the free-living bacterioplankton composition of thaw ponds over a north-south gradient of permafrost degradation in the eastern Canadian subarctic. Three nested spatial scales were compared: 1) among ponds within individual valleys 2) between two valleys within each landscape type, and 3) between landscape types (southern sporadic versus northern discontinuous permafrost). As a reference point, we sampled rock-basin lakes whose formation was not related to permafrost thawing. -diversity was low at the smallest scale despite marked differences in limnological properties among neighboring ponds. -diversity was high among valleys, associated with greater environmental heterogeneity. The largest differences were between landscape types and appeared to reflect the concomitant effects of environmental filtering and dispersal limitation. Raup-Crick -diversity indicated that community assembly was driven by both stochastic (random extinction, dispersal, ecological drift) and deterministic (environmental filtering) processes. Communities sampled in the most degraded valley appeared primarily assembled through stochastic processes, while environmental filtering played a greater role at the other valleys. These results imply that climate warming and ongoing permafrost degradation will influence microbial community assembly, which in turn is likely to affect the functioning of thaw pond ecosystems.	2016	39	10.1111/ecog.01667	YES	Dave	
Lankau RA; Keymer DP	Ectomycorrhizal fungal richness declines towards the host species range edge	MOLECULAR ECOLOGY	Plant range boundaries are generally considered to reflect abiotic conditions; however, a rise in negative or decline in positive species interactions at range margins may contribute to these stable boundaries. While evidence suggests that pollinator mutualisms may decline near range boundaries, little is known about other important plant mutualisms, including microbial root symbionts. Here, we used molecular methods to characterize root-associated fungal communities in populations of two related temperate tree species from across the species range in the eastern United States. We found that ectomycorrhizal fungal richness on plant roots declined with distance from the centre of the host species range. These patterns were not evident in nonmycorrhizal fungal communities on roots nor in fungal communities in bulk soil. Climatic and soil chemical variables could not explain these biogeographic patterns, although these abiotic gradients affected other components of the bulk soil and rhizosphere fungal community. Depauperate ectomycorrhizal fungal communities may represent an underappreciated challenge to marginal tree populations, especially as rapid climate change pushes these populations outside their current climate niche.	2016	25	10.1111/mec.13628	MAYBE	Dave	
Nino-Garcia JP; Ruiz-Gonzalez C; del Giorgio PA	Interactions between hydrology and water chemistry shape bacterioplankton biogeography across boreal freshwater networks	ISME JOURNAL	Disentangling the mechanisms shaping bacterioplankton communities across freshwater ecosystems requires considering a hydrologic dimension that can influence both dispersal and local sorting, but how the environment and hydrology interact to shape the biogeography of freshwater bacterioplankton over large spatial scales remains unexplored. Using Illumina sequencing of the 16S ribosomal RNA gene, we investigate the large-scale spatial patterns of bacterioplankton across 386 freshwater systems from seven distinct regions in boreal Quebec. We show that both hydrology and local water chemistry (mostly pH) interact to shape a sequential structuring of communities from highly diverse assemblages in headwater streams toward larger rivers and lakes dominated by fewer taxa. Increases in water residence time along the hydrologic continuum were accompanied by major losses of bacterial richness and by an increased differentiation of communities driven by local conditions (pH and other related variables). This suggests that hydrology and network position modulate the relative role of environmental sorting and mass effects on community assembly by determining both the time frame for bacterial growth and the composition of the immigrant pool. The apparent low dispersal limitation (that is, the lack of influence of geographic distance on the spatial patterns observed at the taxonomic resolution used) suggests that these boreal bacterioplankton communities derive from a shared bacterial pool that enters the networks through the smallest streams, largely dominated by mass effects, and that is increasingly subjected to local sorting of species during transit along the hydrologic continuum.	2016	10	10.1038/ismej.2015.226	YES	Dave	
Santoferrara LF; Grattepanche JD; Katz LA; McManus GB	Patterns and processes in microbial biogeography: do molecules and morphologies give the same answers?	ISME JOURNAL	Our knowledge on microbial biogeography depends on the way we define and study diversity. In contrast to most microbes, some protist lineages have conspicuous structures that allow comparisons of diversity concepts and measures-those based on molecules and those based on morphology. We analyzed a group of shell-bearing planktonic ciliates, the tintinnids, in a coast-to-ocean gradient using high-throughput sequencing and microscopy. First, we compared molecular operational taxonomic units (OTUs) and morphospecies in terms of assemblage composition, distribution and relationships with the environment. OTUs revealed potentially novel and rare taxa, while morphospecies showed clearer correlations with environmental factors, and both approaches coincided in supporting a coastal versus oceanic pattern. Second, we explored which processes influence assembly across the environmental gradient examined. Assemblage fluctuations were associated with significant distance-decay and changes in morphospecies size and prey proxies, thus suggesting niche partitioning as a key structuring mechanism. Our conclusion is that molecules and morphologies generally agreed, but they provided complementary data, the first revealing hidden diversity, and the latter making better connections between distribution patterns and ecological processes. This highlights the importance of linking genotypes and phenotypes (using multidisciplinary analyses and/or reliable databases of barcoded species), to understand the diversity, biogeography and ecological roles of microbes.	2016	10	10.1038/ismej.2015.224	YES	Dave	
Jiao S; Liu ZS; Lin YB; Yang J; Chen WM; Wei GH	Bacterial communities in oil contaminated soils: Biogeography and co-occurrence patterns	SOIL BIOLOGY & BIOCHEMISTRY	To improve the knowledge about the biogeographic patterns of bacteria in soils contaminated with crude oil, we studied the effects of local geochemical properties and geographic distance on bacterial community structure in oil contaminated soil in five oil refineries (46-360 km apart). The microbial structure was significantly affected by soil environmental factors such as pH, total petroleum hydrocarbons (TPH), total nitrogen, and cadmium level. Microbial alpha-diversity was positively correlated with pH but negatively correlated with TPH. Among sampling sites, the community dissimilarities increased with spatial distance. Variation of bacterial community was mostly attributed to simultaneous effects of spatial distance and environmental factors, and purely spatial distance contributed more to the variation. Microbial generalist OTUs were broadly distributed and dominant in contaminated soils. Their populations were in low proportion (15.75%), but they had high relative abundance (65.05%), and some were associated with TPH-degradation. Network analysis indicated that microbial communities had nonrandom co-occurrence patterns. Keystone taxa were Rubrivivax, Nitrospira, Methylotenera, Methyloversatilis and Acidaminobacter. Microbial taxa from the same module had strong ecological linkages and were involved in biological electron-transfer, C and N-cycles, and organic contaminant degradation. Our results indicate that the same microbial groups with TPH-degradation ability can be assembled from indigenous microorganisms in separate regions through long term exposure to contamination. (C) 2016 Published by Elsevier Ltd.	2016	98	10.1016/j.soilbio.2016.04.005	YES	Dave	
Zhang YG; Cong J; Lu H; Deng Y; Liu X; Zhou JZ; Li DQ	Soil bacterial endemism and potential functional redundancy in natural broadleaf forest along a latitudinal gradient	SCIENTIFIC REPORTS	Microorganisms play key roles in ecosystem processes and biogeochemical cycling, however, the relationship between soil microbial taxa diversity and their function in natural ecosystems is largely unknown. To determine how soil bacteria community and function are linked from the local to regional scale, we studied soil bacteria community composition, potential function and environmental conditions in natural and mature broadleaf forests along a latitudinal gradient in China, using the Illumina 16S rRNA sequencing and GeoChip technologies. The results showed strong biogeographic endemism pattern in soil bacteria were existed, and the spatial distance and climatic variables were the key controlling factors for this pattern. Therefore, dispersal limitation and environmental selection may represent two key processes in generating and maintaining the soil bacterial biogeographic pattern. By contrast, the soil bacterial potential function is highly convergent along the latitudinal gradient and there were highly differing bacterial community compositions, and the soil chemistry may include the main factors active in shaping the soil bacterial potential function. Therefore, the soil bacterial potential function may be affected by local gradients in resource availability, and predicting soil bacterial potential function requires knowledge of abiotic and biotic environmental factors.	2016	6	10.1038/srep28819	YES	Dave	
Laforest-Lapointe I; Messier C; Kembel SW	Host species identity, site and time drive temperate tree phyllosphere bacterial community structure	MICROBIOME	Background: The increasing awareness of the role of phyllosphere microbial communities in plant health calls for a greater understanding of their structure and dynamics in natural ecosystems. Since most knowledge of tree phyllosphere bacterial communities has been gathered in tropical forests, our goal was to characterize the community structure and assembly dynamics of phyllosphere epiphytic bacterial communities in temperate forests in Quebec, Canada. We targeted five dominant tree species: Acer saccharum, Acer rubrum, Betula papyrifera, Abies balsamea, and Picea glauca. We collected 180 samples of phyllosphere communities on these species at four natural forest sites, three times during the growing season. Results: Host functional traits (i.e., wood density, leaf nitrogen content) and climate variables (summer mean temperature and precipitation) were strongly correlated with community structure. We highlight three key findings: (1) temperate tree species share a core microbiome; (2) significant evolutionary associations exist between groups of bacteria and host species; and (3) a greater part of the variation in phyllosphere bacterial community assembly is explained by host species identity (27 %) and species-site interaction (14 %), than by site (11 %) or time (1 %). Conclusions: We demonstrated that host species identity is a stronger driver of temperate tree phyllosphere bacterial communities than site or time. Our results suggest avenues for future studies on the influence of host functional traits on phyllosphere community functional biogeography across terrestrial biomes.	2016	4	10.1186/s40168-016-0174-1	MAYBE	Dave	
Lucas J; Wichels A; Gerdts G	Spatiotemporal variation of the bacterioplankton community in the German Bight: from estuarine to offshore regions	HELGOLAND MARINE RESEARCH	Marine microbial biogeography has been studied intensively; however few studies address community variation across temporal and spatial scales simultaneously so far. Here we present a yearlong study investigating the dynamics of the free-living and particle-attached bacterioplankton community across a 100 km transect in the German Bight reaching from the Elbe estuary towards the open North Sea. Community composition was assessed using automated ribosomal intergenic spacer analysis and linked to environmental parameters applying multivariate statistical techniques. Results suggest that the spatial variation of the bacterioplankton community is defined by hydrographic current conditions, which separate the inner German Bight from the open North Sea and lead to pronounced differences in the coastal and offshore bacterioplankton community. However this spatial variation is overwhelmed by a strong temporal variation which is triggered by temperature as the main driving force throughout the whole transect. Variation in the free-living community was predominantly driven by temperature, whereas the particle-attached community exhibited stronger spatial variation patterns.	2016	70	10.1186/s10152-016-0464-9	MAYBE	Dave	
Ferrari BC; Bissett A; Snape I; van Dorst J; Palmer AS; Ji MK; Siciliano SD; Stark JS; Winsley T; Brown MV	Geological connectivity drives microbial community structure and connectivity in polar, terrestrial ecosystems	ENVIRONMENTAL MICROBIOLOGY	Landscape heterogeneity impacts community assembly in animals and plants, but it is not clear if this ecological concept extends to microbes. To examine this question, we chose to investigate polar soil environments from the Antarctic and Arctic, where microbes often form the major component of biomass. We examined soil environments that ranged in connectivity from relatively well-connected slopes to patchy, fragmented landforms that comprised isolated frost boils. We found landscape connectedness to have a significant correlation with microbial community structure and connectivity, as measured by co-occurrence networks. Soils from within fragmented landforms appeared to exhibit less local environmental heterogeneity, harboured more similar communities, but fewer biological associations than connected landforms. This effect was observed at both poles, despite the geographical distances and ecological differences between them. We suggest that microbial communities inhabiting well-connected landscape elements respond consistently to regional-scale gradients in biotic and edaphic factors. Conversely, the repeated freeze thaw cycles that characterize fragmented landscapes create barriers within the landscape and act to homogenize the soil environment within individual frost boils and consequently the microbial communities. We propose that lower microbial connectivity in the fragmented landforms is a function of smaller patch size and continual disturbances following soil mixing.	2016	18	10.1111/1462-2920.13034	MAYBE	Dave	
OBrien SL; Gibbons SM; Owens SM; Hampton-Marcell J; Johnston ER; Jastrow JD; Gilbert JA; Meyer F; Antonopoulos DA	Spatial scale drives patterns in soil bacterial diversity	ENVIRONMENTAL MICROBIOLOGY	Soil microbial communities are essential for ecosystem function, but linking community composition to biogeochemical processes is challenging because of high microbial diversity and large spatial variability of most soil characteristics. We investigated soil bacterial community structure in a switchgrass stand planted on soil with a history of grassland vegetation at high spatial resolution to determine whether biogeographic trends occurred at the centimeter scale. Moreover, we tested whether such heterogeneity, if present, influenced community structure within or among ecosystems. Pronounced heterogeneity was observed at centimeter scales, with abrupt changes in relative abundance of phyla from sample to sample. At the ecosystem scale (> 10 m), however, bacterial community composition and structure were subtly, but significantly, altered by fertilization, with higher alpha diversity in fertilized plots. Moreover, by comparing these data with data from 1772 soils from the Earth Microbiome Project, it was found that 20% diverse globally sourced soil samples, while grassland soils shared approximately 40% of their operational taxonomic units with the current study. By spanning several orders of magnitude, the analysis suggested that extreme patchiness characterized community structure at smaller scales but that coherent patterns emerged at larger length scales.	2016	18	10.1111/1462-2920.13231	YES	Dave	
Zheng YL; Jiang XF; Hou LJ; Liu M; Lin XB; Gao J; Li XF; Yin GY; Yu CD; Wang R	Shifts in the community structure and activity of anaerobic ammonium oxidation bacteria along an estuarine salinity gradient	JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES	Anaerobic ammonium oxidation (anammox) is a major microbial pathway for nitrogen (N) removal in estuarine and coastal environments. However, understanding of anammox bacterial dynamics and associations with anammox activity remains scarce along estuarine salinity gradient. In this study, the diversity, abundance, and activity of anammox bacteria, and their potential contributions to total N-2 production in the sediments along the salinity gradient (0.1-33.8) of the Yangtze estuarine and coastal zone, were studied using 16S rRNA gene clone library, quantitative polymerase chain reaction assay, and isotope-tracing technique. Phylogenetic analysis showed a significant change in anammox bacterial community structure along the salinity gradient (P<0.01), with the dominant genus shifting from Brocadia in the freshwater region to Scalindua in the open ocean. Anammox bacterial abundance ranged from 3.67x10(5) to 8.22x10(7)copies 16S rRNA geneg(-1) and related significantly with salinity (P<0.05). The anammox activity varied between 0.08 and 6.46nmolNg(-1)h(-1) and related closely with anammox bacterial abundance (P<0.01). Contributions of anammox activity to total N loss were highly variable along the salinity gradient, ranging from 5 to 77% and were significantly negatively correlated with salinity (P<0.01). Sediment organic matter was also recognized as an important factor in controlling the relative role of anammox to total N-2 production in the Yangtze estuarine and coastal zone. Overall, our data demonstrated a biogeographical distribution of anammox bacterial diversity, abundance, and activity along the estuarine salinity gradient and suggested that salinity is a major environmental control on anammox process in the estuarine and coastal ecosystems.	2016	121	10.1002/2015JG003300	MAYBE	Dave	
Tu QC; Deng Y; Yan QY; Shen LN; Lin L; He ZL; Wu LY; Van Nostrand JD; Buzzard V; Michaletz ST; Enquist BJ; Weiser MD; Kaspari M; Waide RB; Brown JH; Zhou JZ	Biogeographic patterns of soil diazotrophic communities across six forests in the North America	MOLECULAR ECOLOGY	Soil diazotrophs play important roles in ecosystem functioning by converting atmospheric N-2 into biologically available ammonium. However, the diversity and distribution of soil diazotrophic communities in different forests and whether they follow biogeographic patterns similar to macroorganisms still remain unclear. By sequencing nifH gene amplicons, we surveyed the diversity, structure and biogeographic patterns of soil diazotrophic communities across six North American forests (126 nested samples). Our results showed that each forest harboured markedly different soil diazotrophic communities and that these communities followed traditional biogeographic patterns similar to plant and animal communities, including the taxa-area relationship (TAR) and latitudinal diversity gradient. Significantly higher community diversity and lower microbial spatial turnover rates (i.e. z-values) were found for rainforests (similar to 0.06) than temperate forests (similar to 0.1). The gradient pattern of TARs and community diversity was strongly correlated (r(2) > 0.5) with latitude, annual mean temperature, plant species richness and precipitation, and weakly correlated (r(2) < 0.25) with pH and soil moisture. This study suggests that even microbial subcommunities (e.g. soil diazotrophs) follow general biogeographic patterns (e.g. TAR, latitudinal diversity gradient), and indicates that the metabolic theory of ecology and habitat heterogeneity may be the major underlying ecological mechanisms shaping the biogeographic patterns of soil diazotrophic communities.	2016	25	10.1111/mec.13651	MAYBE	Dave	
Kuang JL; Huang LN; He ZL; Chen LX; Hua ZS; Jia P; Li SJ; Liu J; Li JT; Zhou JZ; Shu WS	Predicting taxonomic and functional structure of microbial communities in acid mine drainage	ISME JOURNAL	Predicting the dynamics of community composition and functional attributes responding to environmental changes is an essential goal in community ecology but remains a major challenge, particularly in microbial ecology. Here, by targeting a model system with low species richness, we explore the spatial distribution of taxonomic and functional structure of 40 acid mine drainage (AMD) microbial communities across Southeast China profiled by 16S ribosomal RNA pyrosequencing and a comprehensive microarray (GeoChip). Similar environmentally dependent patterns of dominant microbial lineages and key functional genes were observed regardless of the large-scale geographical isolation. Functional and phylogenetic beta-diversities were significantly correlated, whereas functional metabolic potentials were strongly influenced by environmental conditions and community taxonomic structure. Using advanced modeling approaches based on artificial neural networks, we successfully predicted the taxonomic and functional dynamics with significantly higher prediction accuracies of metabolic potentials (average Bray-Curtis similarity 87.8) as compared with relative microbial abundances (similarity 66.8), implying that natural AMD microbial assemblages may be better predicted at the functional genes level rather than at taxonomic level. Furthermore, relative metabolic potentials of genes involved in many key ecological functions (for example, nitrogen and phosphate utilization, metals resistance and stress response) were extrapolated to increase under more acidic and metal-rich conditions, indicating a critical strategy of stress adaptation in these extraordinary communities. Collectively, our findings indicate that natural selection rather than geographic distance has a more crucial role in shaping the taxonomic and functional patterns of AMD microbial community that readily predicted by modeling methods and suggest that the model-based approach is essential to better understand natural acidophilic microbial communities.	2016	10	10.1038/ismej.2015.201	YES	Dave	
Li W; Wang MM; Wang XG; Cheng XL; Guo JJ; Bian XM; Cai L	Fungal communities in sediments of subtropical Chinese seas as estimated by DNA metabarcoding	SCIENTIFIC REPORTS	Ribosomal RNA internal transcribed spacer-1 (ITS1) metabarcoding was used to investigate the distribution patterns of fungal communities and the factors influencing these patterns in subtropical Chinese seas, including the southern and northern Yellow Sea and the Bohai Sea. These seas were found to harbor high levels of fungal diversity, with 816 operational taxonomic units (OTUs) that span 130 known genera, 36 orders, 14 classes and 5 phyla. Ascomycota was the most abundant phylum, containing 72.18% and 79.61% of all OTUs and sequences, respectively, followed by Basidiomycota (19.98%, 18.64%), Zygomycota (1.10%, 0.11%), Chytridiomycota (0.25%, 0.04%) and Rozellomycota (0.12%, 0.006%). The compositions of fungal communities across these three sea regions were found to be vary, which may be attributed to sediment source, geographical distance, latitude and some environmental factors such as the temperature and salinity of bottom water, water depth, total nitrogen, and the ratio of total organic carbon to nitrogen. Among these environmental factors, the temperature of bottom water is the most important driver that governs the distribution patterns of fungal communities across the sampled seas. Our data also suggest that the cold-water mass of the Yellow Sea likely balances competitive relationships between fungal taxa rather than increasing species richness levels.	2016	6	10.1038/srep26528	YES	Dave	
Hu YOO; Karlson B; Charvet S; Andersson AF	Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea	FRONTIERS IN MICROBIOLOGY	Microbial plankton form the productive base of both marine and freshwater ecosystems and are key drivers of global biogeochemical cycles of carbon and nutrients. Plankton diversity is immense with representations from all major phyla within the three domains of life. So far, plankton monitoring has mainly been based on microscopic identification, which has limited sensitivity and reproducibility, not least because of the numerical majority of plankton being unidentifiable under the light microscope. High-throughput sequencing of taxonomic marker genes offers a means to identify taxa inaccessible by traditional methods; thus, recent studies have unveiled an extensive previously unknown diversity of plankton. Here, we conducted ultra-deep Illumina sequencing (average 105 sequences/sample) of rRNA gene amplicons of surface water eukaryotic and bacterial plankton communities sampled in summer along a 2000 km transect following the salinity gradient of the Baltic Sea. Community composition was strongly correlated with salinity for both bacterial and eukaryotic plankton assemblages, highlighting the importance of salinity for structuring the biodiversity within this ecosystem. In contrast, no clear trends in alpha-diversity for bacterial or eukaryotic communities could be detected along the transect. The distribution of major planktonic taxa followed expected patterns as observed in monitoring programs, but groups novel to the Baltic Sea were also identified, such as relatives to the coccolithophore Erniliana huxleyi detected in the northern Baltic Sea. This study provides the first ultra-deep sequencing-based survey on eukaryotic and bacterial plankton biogeography in the Baltic Sea.	2016	7	10.5589/fmicb.2016.00679	MAYBE	Dave	
Cao HC; Chen RR; Wang LB; Jiang LL; Yang F; Zheng SX; Wang GJ; Lin XG	Soil pH, total phosphorus, climate and distance are the major factors influencing microbial activity at a regional spatial scale	SCIENTIFIC REPORTS	Considering the extensive functional redundancy in microbial communities and great difficulty in elucidating it based on taxonomic structure, studies on the biogeography of soil microbial activity at large spatial scale are as important as microbial community structure. Eighty-four soil samples were collected across a region from south to north China (about 1,000 km) to address the questions if microbial activity displays biogeographic patterns and what are driving forces. These samples represented different soil types, land use and climate. Redundancy analysis and nonmetric multidimensional scaling clearly revealed that soil microbial activities showed distinct differentiation at different sites over a regional spatial scale, which were strongly affected by soil pH, total P, rainfall, temperature, soil type and location. In addition, microbial community structure was greatly influenced by rainfall, location, temperature, soil pH and soil type and was correlated with microbial activity to some extent. Our results suggest that microbial activities display a clear geographic pattern that is greatly altered by geographic distance and reflected by climate, soil pH and total P over large spatial scales. There are common (distance, climate, pH and soil type) but differentiated aspects (TP, SOC and N) in the biogeography of soil microbial community structure and activity.	2016	6	10.1038/srep25815	YES	Dave	
Bertos-Fortis M; Farnelid HM; Lindh MV; Casini M; Andersson A; Pinhassi J; Legrand C	Unscrambling Cyanobacteria Community Dynamics Related to Environmental Factors	FRONTIERS IN MICROBIOLOGY	Future climate scenarios in the Baltic Sea project an increase of cyanobacterial bloom frequency and duration, attributed to eutrophication and climate change. Some cyanobacteria can be toxic and their impact on ecosystem services is relevant for a sustainable sea. Yet, there is limited understanding of the mechanisms regulating cyanobacterial diversity and biogeography. Here we unravel successional patterns and changes in cyanobacterial community structure using a 2-year monthly time series during the productive season in a 100 km coastal-offshore transect using microscopy and high-throughput sequencing of 16S rRNA gene fragments. A total of 565 cyanobacterial OTUs were found, of which 231 where filamentous/colonial and 334 picocyanobacterial. Spatial differences in community structure between coastal and offshore waters were minor. An epidemic population structure (dominance of a single cluster) was found for Aphanizomenon/Dolichospermum within the filamentous/colonial cyanobacterial community. In summer, this cluster simultaneously occurred with opportunistic clusters/OTUs, e.g., Nodulana spumigena and Pseudanabaena. Picocyanobacteria, Synechococcus/Cyanobium, formed a consistent but highly diverse group. Overall, the potential drivers structuring summer cyanobacterial communities were temperature and salinity. However, the different responses to environmental factors among and within genera suggest high niche specificity for individual OTUs. The recruitment and occurrence of potentially toxic filamentous/colonial clusters was likely related to disturbance such as mixing events and short-term shifts in salinity, and not solely dependent on increasing temperature and nitrogen-limiting conditions. Nutrients did not explain further the changes in cyanobacterial community composition. Novel occurrence patterns were identified as a strong seasonal succession revealing a tight coupling between the emergence of opportunistic picocyanobacteria and the bloom of filamentous/colonial clusters. These findings highlight that if environmental conditions can partially explain the presence of opportunistic picocyanobacteria, microbial and trophic interactions with filamentous/colonial cyanobacteria should also be considered as potential shaping factors for single-celled communities. Regional climate change scenarios in the Baltic Sea predict environmental shifts leading to higher temperature and lower salinity; conditions identified here as favorable for opportunistic filamentous/colonial cyanobacteria. Altogether, the diversity and complexity of cyanobacterial communities reported here is far greater than previously known, emphasizing the importance of microbial interactions between filamentous and picocyanobacteria in the context of environmental disturbances.	2016	7	10.3389/fmicb.2016.00625	MAYBE	Dave	
Fondi M; Karkman A; Tamminen MV; Bosi E; Virta M; Fani R; Alm E; McInerney JO	Every Gene Is Everywhere but the Environment Selects: Global Geolocalization of Gene Sharing in Environmental Samples through Network Analysis	GENOME BIOLOGY AND EVOLUTION	The spatial distribution of microbes on our planet is famously formulated in the Baas Becking hypothesis as everything is everywhere but the environment selects. While this hypothesis does not strictly rule out patterns caused by geographical effects on ecology and historical founder effects, it does propose that the remarkable dispersal potential of microbes leads to distributions generally shaped by environmental factors rather than geographical distance. By constructing sequence similarity networks from uncultured environmental samples, we show that microbial gene pool distributions are not influenced nearly as much by geography as ecology, thus extending the Bass Becking hypothesis from whole organisms to microbial genes. We find that gene pools are shaped by their broad ecological niche (such as sea water, fresh water, host, and airborne). We find that freshwater habitats act as a gene exchange bridge between otherwise disconnected habitats. Finally, certain antibiotic resistance genes deviate from the general trend of habitat specificity by exhibiting a high degree of cross-habitat mobility. The strong cross-habitat mobility of antibiotic resistance genes is a cause for concern and provides a paradigmatic example of the rate by which genes colonize new habitats when new selective forces emerge.	2016	8	10.1093/gbe/evw077	YES	Dave	
Filker S; Sommaruga R; Vila I; Stoeck T	Microbial eukaryote plankton communities of high-mountain lakes from three continents exhibit strong biogeographic patterns	MOLECULAR ECOLOGY	Microbial eukaryotes hold a key role in aquatic ecosystem functioning. Yet, their diversity in freshwater lakes, particularly in high-mountain lakes, is relatively unknown compared with the marine environment. Low nutrient availability, low water temperature and high ultraviolet radiation make most high-mountain lakes extremely challenging habitats for life and require specific molecular and physiological adaptations. We therefore expected that these ecosystems support a plankton diversity that differs notably from other freshwater lakes. In addition, we hypothesized that the communities under study exhibit geographic structuring. Our rationale was that geographic dispersal of small-sized eukaryotes in high-mountain lakes over continental distances seems difficult. We analysed hypervariable V4 fragments of the SSU rRNA gene to compare the genetic microbial eukaryote diversity in high-mountain lakes located in the European Alps, the Chilean Altiplano and the Ethiopian Bale Mountains. Microbial eukaryotes were not globally distributed corroborating patterns found for bacteria, multicellular animals and plants. Instead, the plankton community composition emerged as a highly specific fingerprint of a geographic region even on higher taxonomic levels. The intraregional heterogeneity of the investigated lakes was mirrored in shifts in microbial eukaryote community structure, which, however, was much less pronounced compared with interregional beta-diversity. Statistical analyses revealed that on a regional scale, environmental factors are strong predictors for plankton community structures in high-mountain lakes. While on long-distance scales (> 10 000 km), isolation by distance is the most plausible scenario, on intermediate scales (up to 6000 km), both contemporary environmental factors and historical contingencies interact to shift plankton community structures.	2016	25	10.1111/mec.13633	YES	Dave	
