AU	TI	SO	AB	PY	DI
Zufall, RA; Dimond, KL; Doerder, FP	Restricted distribution and limited gene flow in the model ciliate Tetrahymena thermophila	MOLECULAR ECOLOGY	The biogeography of microbial eukaryotes has long been debated, but few phylogeographic data have been available to assess whether protists tend to have ubiquitous or endemic distributions. We addressed this issue in the ciliate Tetrahymena thermophila, a highly successful model system in cell and molecular biology. We found that this species has a distribution that is restricted to the Eastern United States, with high diversity in the northeast and low diversity across the rest of its distribution. We find high levels of population subdivision, low rates of migration and significant isolation by distance, supporting the moderate endemicity model of protist biogeography. This restricted gene flow may be a result of small population size, which would reduce the probability of migration events, or the inability to establish after migration. This work lays the foundation for T. thermophila to become a valuable model system for studying population biology.	2013	10.1111/mec.12066
Feinstein, LM; Blackwood, CB	The spatial scaling of saprotrophic fungal beta diversity in decomposing leaves	MOLECULAR ECOLOGY	Assembly of fungal communities remains poorly understood in part because of the daunting range of spatial scales that may be involved in this process. Here, we use individual leaves as a natural sampling unit, comprising spatially distinct habitat and/or resource patches with unique histories and suites of resources. Spatial patterns in fungal beta diversity were tested for consistency with the metacommunity paradigms of species sorting and neutral dynamics. Thirty senesced leaves were collected from the forest floor (O horizon) in replicate upland forest, riparian forest and vernal pool habitats. We quantified spatial distance between leaves, and fungal community composition was assayed by terminal restriction fragment length polymorphism. Significant distance-decay relationships were detected at all but one upland site. This is the first study where changes in fungal community composition were quantified across discrete adjacent habitat patches, providing evidence that fungal distance decay is operational at a scale of centimetres. Although leaves of differing lignin contents were sampled from each site, leaf type was not consistently important in explaining variation in fungal community composition. However, depth of a leaf within the forest floor significantly influenced community composition at five of six sites. Environmental heterogeneity associated with depth could include moisture gradients, relative influence of soil or spore colonization, and impact of forest floor biotic community (i.e. collembola and earthworms). Because the influence of spatial distance and depth on fungal community composition could not be disentangled, both species-sorting and neutral processes may be embedded within the distance-decay relationships that we found.	2013	10.1111/mec.12160
Azovsky, A; Mazei, Y	Do microbes have macroecology? Large-scale patterns in the diversity and distribution of marine benthic ciliates	GLOBAL ECOLOGY AND BIOGEOGRAPHY	Aim The biogeography and global distribution of protists has long been disputed, with two primary, opposing views. To test these two sets of views in greater detail, we have compiled the available data for marine benthic ciliates and assessed the general patterns of their diversity and distribution compared with Metazoa. Location World-wide. Methods A comprehensive database (1342 species, over 350 sources) was used to analyse the diversity, distribution, species occurrences and range size distribution of free-living ciliates that inhabit marine sediments in 17 geographical regions. Results Twenty-five per cent of the species have been found in a single region only, whereas 18% are widespread (they occur in more than half the regions covering both hemispheres). Only 57% of regional faunas are endemic, which is much lower than for macroorganisms. Regional diversity depends neither on total area nor on coastline length and does not show any obvious latitudinal trends, but correlates highly with the investigation effort expended in a region and (negatively) with the average salinity. A comparison of species composition reveals distinctions between the Arctic Area (the White, Barents and Kara seas), Laurasian Area (north Atlantic, north Pacific and European seas), Gondwanian Area (Southern Ocean) and the Antarctic. No clear geographical correlations are found for faunistic composition at the genus or family levels. There is the tendency to narrow the latitudinal ranges for species found at high latitudes (reversal of Rapoports rule). Main conclusions Undersampling and data insufficiency are the key factors affecting the observed diversity and distribution of microorganisms. Nevertheless, marine benthic ciliates demonstrate certain patterns that generally agree with the moderate endemicity model (Foissner, 2004, 2008), but consistently contradict the regularities commonly observed for multicellular taxa. Thus, ciliates do have a biogeography, but their macroecological patterns may be different in some respects from that of macroorganisms.	2013	10.1111/j.1466-8238.2012.00776.x
Filker, S; Stock, A; Breiner, HW; Edgcomb, V; Orsi, W; Yakimov, MM; Stoeck, T	Environmental selection of protistan plankton communities in hypersaline anoxic deep-sea basins, Eastern Mediterranean Sea	MICROBIOLOGYOPEN	High salt concentrations, absence of light, anoxia, and high hydrostatic pressure make deep hypersaline anoxic basins (DHABs) in the Eastern Mediterranean Sea one of the most polyextreme habitats on Earth. Taking advantage of the unique chemical characteristics of these basins, we tested the effect of environmental selection and geographic distance on the structure of protistan communities. Terminal restriction fragment length polymorphism (T-RFLP) analyses were performed on water samples from the brines and seawater/brine interfaces of five basins: Discovery, Urania, Thetis, Tyro, and Medee. Using statistical analyses, we calculated the partitioning of diversity among the ten individual terminal restriction fragment (T-RF) profiles, based on peak abundance and peak incidence. While a significant distance effect on spatial protistan patterns was not detected, hydrochemical gradients emerged as strong dispersal barriers that likely lead to environmental selection in the DHAB protistan plankton communities. We identified sodium, magnesium, sulfate, and oxygen playing in concerto as dominant environmental drivers for the structuring of protistan plankton communities in the Eastern Mediterranean DHABs.	2013	10.1002/mbo3.56
Kim, M; Boldgiv, B; Singh, D; Chun, J; Lkhagva, A; Adams, JM	Structure of soil bacterial communities in relation to environmental variables in a semi-arid region of Mongolia	JOURNAL OF ARID ENVIRONMENTS	Patterns in soil bacterial communities, and the factors that determine them, have been little explored in arid and semi-arid environments. It is unclear to what extent the diversity and community composition of arid-land soil bacterial communities follow vegetation habitats, or conversely other relatively independent soil variables. It is also unclear whether the factors (e.g. pH) that contribute to variation in bacterial communities in some moister environments also operate on a local scale in semi-arid environments. To identify the main factors in shaping bacterial community structure in semi-arid environments, we sampled a mosaic of habitats under different vegetation, landscape and edaphic conditions in central Mongolia, including steppe, forest-steppe, and abandoned wheat field. Soil DNA was extracted and pyrosequenced for 16S rRNA gene identification. NMDS results showed that bacterial community structures are slightly different from one habitat to another. However, the similarity between communities both within and between habitats is determined more strongly by soil texture than by vegetation type and drainage conditions. Moreover, the relative abundances of certain phyla are correlated with specific soil properties such as salinity and soil texture, in ways that have not previously been found in semi-arid environments. Actinobacteria, for example, show a negative correlation with salinity and Bacteroidetes display a positive relationship with percentage silt and clay. It also appears that the most important environmental variables (soil texture and salinity) affecting the bacterial community within this semi-arid environment are different from those found in moister environments, with no detectable effect of pH. (C) 2012 Elsevier Ltd. All rights reserved.	2013	10.1016/j.jaridenv.2012.09.014
Ilinsky, Y	Coevolution of Drosophila melanogaster mtDNA and Wolbachia Genotypes	PLOS ONE	Maternally inherited microorganisms can influence the mtDNA pattern of variation in hosts. This influence is driven by selection among symbionts and can cause the frequency of mitochondrial variants in the population to eventually increase or decrease. Wolbachia infection is common and widespread in Drosophila melanogaster populations. We compared genetic variability of D. melanogaster mitotypes with Wolbachia genotypes among isofemale lines associated with different geographic locations and time intervals to study coevolution of the mtDNA and Wolbachia. Phylogenetic analysis of D. melanogaster mtDNA revealed two clades diverged in Africa, each associated with one of the two Wolbachia genotype groups. No evidence of horizontal transmission of Wolbachia between maternal lineages has been found. All the mtDNA variants that occur in infected isofemale lines are found in uninfected isofemale lines and vice versa, which is indicative of a recent loss of infection from some maternal fly lineages and confirms a significant role of Wolbachia in the D. melanogaster mtDNA pattern of variation. Finally, we present a comparative analysis of biogeographic distribution of D. melanogaster mitotypes all over the world.	2013	10.1371/journal.pone.0054373
Rodrigues, JLM; Pellizari, VH; Mueller, R; Baek, K; Jesus, ED; Paula, FS; Mirza, B; Hamaoui, GS; Tsai, SM; Feigl, B; Tiedje, JM; Bohannan, BJM; Nusslein, K	Conversion of the Amazon rainforest to agriculture results in biotic homogenization of soil bacterial communities	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	The Amazon rainforest is the Earths largest reservoir of plant and animal diversity, and it has been subjected to especially high rates of land use change, primarily to cattle pasture. This conversion has had a strongly negative effect on biological diversity, reducing the number of plant and animal species and homogenizing communities. We report here that microbial biodiversity also responds strongly to conversion of the Amazon rainforest, but in a manner different from plants and animals. Local taxonomic and phylogenetic diversity of soil bacteria increases after conversion, but communities become more similar across space. This homogenization is driven by the loss of forest soil bacteria with restricted ranges (endemics) and results in a net loss of diversity. This study shows homogenization of microbial communities in response to human activities. Given that soil microbes represent the majority of biodiversity in terrestrial ecosystems and are intimately involved in ecosystem functions, we argue that microbial biodiversity loss should be taken into account when assessing the impact of land use change in tropical forests.	2013	10.1073/pnas.1220608110
Hahnke, RL; Probian, C; Fuchs, BM; Harder, J	Variations in pelagic bacterial communities in the North Atlantic Ocean coincide with water bodies	AQUATIC MICROBIAL ECOLOGY	Physical and chemical characteristics define oceanographic regions. The potential for a distinct biogeography of bacterial communities in these oceanic provinces was studied in epipelagic and upper mesopelagic water bodies of the North Atlantic Ocean by terminal restriction fragment length polymorphism (T-RFLP) analysis of bacterial 16S rRNA genes and flow cytometry. Water samples from 67 degrees N to 34 degrees N along the 30 degrees W meridian contained epipelagic populations of Synechococcus in the north and Prochlorococcus in the south. Bacterial communities were generally more diverse in phototrophic layers above the pycnocline. Communities significantly differed in the epipelagic zone along the latitudinal transect through the different oceanic provinces and between the epipelagic and the upper mesopelagic zone. Differences in the T-RFLP patterns coincided well with differences in the physico-chemical conditions of the sampling sites. Changes in bacterial communities were traced to characteristic terminal restriction fragments (TRFs). In silico assignments of phylogenetic groups to TRFs, e.g. populations of high-light and low-light ecotypes of Prochlorococcus, supported our T-RFLP analysis of bacterial communities. Distinct bacterial communities in water bodies of the North Atlantic Ocean hosted different bacterial populations, which may serve as biological markers for oceanic provinces.	2013	10.3354/ame01668
Selama, O; James, P; Nateche, F; Wellington, EMH; Hacene, H	The World Bacterial Biogeography and Biodiversity through Databases: A Case Study of NCBI Nucleotide Database and GBIF Database	BIOMED RESEARCH INTERNATIONAL	Databases are an essential tool and resource within the field of bioinformatics. The primary aim of this study was to generate an overview of global bacterial biodiversity and biogeography using available data from the two largest public online databases, NCBI Nucleotide and GBIF. The secondary aim was to highlight the contribution each geographic area has to each database. The basis for data analysis of this study was the metadata provided by both databases, mainly, the taxonomy and the geographical area origin of isolation of the microorganism (record). These were directly obtained from GBIF through the online interface, while E-utilities and Python were used in combination with a programmatic web service access to obtain data from the NCBI Nucleotide Database. Results indicate that the American continent, and more specifically the USA, is the top contributor, while Africa and Antarctica are less well represented. This highlights the imbalance of exploration within these areas rather than any reduction in biodiversity. This study describes a novel approach to generating global scale patterns of bacterial biodiversity and biogeography and indicates that the Proteobacteria are the most abundant and widely distributed phylum within both databases.	2013	10.1155/2013/240175
Chang, FH; Marquis, EC; Chang, CW; Gong, GC; Hsieh, CH	Scaling of growth rate and mortality with size and its consequence on size spectra of natural microphytoplankton assemblages in the East China Sea	BIOGEOSCIENCES	Allometric scaling of body size versus growth rate and mortality has been suggested to be a universal macroecological pattern, as described by the metabolic theory of ecology (MTE). However, whether such scaling generally holds in natural assemblages remains debated. Here, we test the hypothesis that the size-specific growth rate and grazing mortality scale with the body size with an exponent of -1/4 after temperature correction, as MTE predicts. To do so, we couple a dilution experiment with the FlowCAM imaging system to obtain size-specific growth rates and grazing mortality of natural microphytoplankton assemblages in the East China Sea. This novel approach allows us to achieve highly resolved size-specific measurements that would be very difficult to obtain in traditional size-fractionated measurements using filters. Our results do not support the MTE prediction. On average, the size-specific growth rates and grazing mortality scale almost isometrically with body size (with scaling exponent similar to 0.1). However, this finding contains high uncertainty, as the size-scaling exponent varies substantially among assemblages. The fact that size-scaling exponent varies among assemblages prompts us to further investigate how the variation of size-specific growth rate and grazing mortality can interact to determine the microphytoplankton size structure, described by normalized biomass size spectrum (NBSS), among assemblages. We test whether the variation of microphytoplankton NBSS slopes is determined by (1) differential grazing mortality of small versus large individuals, (2) differential growth rate of small versus large individuals, or (3) combinations of these scenarios. Our results indicate that the ratio of the grazing mortality of the large size category to that of the small size category best explains the variation of NBSS slopes across environments, suggesting that higher grazing mortality of large microphytoplankton may release the small phytoplankton from grazing, which in turn leads to a steeper NBSS slope. This study contributes to understanding the relative importance of bottom-up versus top-down control in shaping microphytoplankton size structure.	2013	10.5194/bg-10-5267-2013
Dakora, FD	Biogeographic Distribution, Nodulation and Nutritional Attributes of Underutilized Indigenous African Legumes	II INTERNATIONAL SYMPOSIUM ON UNDERUTILIZED PLANT SPECIES: CROPS FOR THE FUTURE - BEYOND FOOD SECURITY	In Africa, Vigna unguiculata L. Walp. and Vigna subterranea L. Vedc. are the only cultivated indigenous food legumes, yet there are 14 Vigna species currently used as food security crops in the continent. The tubers of V. lobatifolia, V. reticulata, V. fischeri, V. vexillata, V. ambacensis, V. marina and V. stenophylla are harvested as food, as well as the grain of V. reticuleata, V. vexillata, V. juncea, V. gracilis, V. membranacea and V. radiata. Tylosema esculentum (an unimproved legume native to southern Africa) produces grain with 30-39% protein and 43% oil compared to the highly improved soybean with 38-40% protein and groundnut with 48% oil. Nutritionally, the tubers of Sphenostylis stenocarpa, V. lobatifolia and V. vexillata also contain up to 15% protein, a level six times that of cassava and three times that of Irish potato or sweet potato. Except for T. esculentum, these underutilized legumes all nodulate freely with soil bacteria and fix N-2. Vigna subterranea and Macrotyloma geocarpum, for example, can obtain 51-67% of their N nutrition from symbiotic fixation. As a result, these underutilized legumes serve as high-protein forage/fodder for livestock and wildlife. This review summarizes the potential of under-exploited African legumes as food/medicinal crops, forage and covercrops.	2013	
Mapelli, F; Varela, MM; Barbato, M; Alvarino, R; Hernando-Morales, V; Fusi, M; Alvarez, M; Merlino, G; Daffonchio, D; Teira, E; Borin, S	Biogeography of planktonic bacterial communities across the whole Mediterranean Sea (vol 9, pg 585, 2013)	OCEAN SCIENCE		2013	10.5194/os-9-681-2013
Lefort, T; Gasol, JM	Global-scale distributions of marine surface bacterioplankton groups along gradients of salinity, temperature, and chlorophyll: a meta-analysis of fluorescence in situ hybridization studies	AQUATIC MICROBIAL ECOLOGY	We used literature data on marine bacterial (sub) group abundances, as determined by fluorescence in situ hybridization, to test whether the ecological variability of the different subgroups was similar to that of the bacterial community as a whole. Patterns of 6 major groups are described (Alpha-, Beta-, Gammaproteobacteria and Bacteroidetes, as well as Rhodobacteraceae and SAR11) and related to environmental variables such as chlorophyll a (chl a) concentration, salinity, and temperature, distinguishing between coastal or open-ocean environments. Coastal ecosystems exhibited higher relative abundances (average % of DAPI counts) of Bacteroidetes (23 %), Beta- (11 %) and Gammaproteobacteria (10 %), and Rhodobacteraceae (6%), while significantly higher contributions of Alphaproteobacteria and SAR11 (32 %) were on average enumerated offshore. Multiple regression analyses showed significant explanatory power of chl a and temperature on total and SAR11 absolute abundances (expressed as cells ml(-1)), and of chl a and salinity levels on absolute abundances of Betaproteobacteria and Rhodobacteraceae. Other analyses revealed increasing contribution of Gammaproteobacteria for increasing temperatures and high temperature avoidance for Betaproteobacteria. Significantly different log-log regression slopes were found between bacterial group absolute abundances and chl a concentration at a global scale, ranging from 0.13 +/- 0.04 (SE) for SAR11 to 0.53 +/- 0.08 for Betaproteobacteria. The different patterns observed for the different groups, in coastal and open-ocean environments, suggest different niche preferences by each group as well as a coherent response to environmental factors.	2013	10.3354/ame01643
