AU	TI	SO	AB	PY	DI
Regan, KM; Nunan, N; Boeddinghaus, RS; Baumgartner, V; Berner, D; Boch, S; Oelmann, Y; Overmann, J; Prati, D; Schloter, M; Schmitt, B; Sorkau, E; Steffens, M; Kandeler, E; Marhan, S	Seasonal controls on grassland microbial biogeography: are they governed by plants, abiotic properties or both? (vol 71, pg 21, 2014)	SOIL BIOLOGY & BIOCHEMISTRY		2015	10.1016/j.soilbio.2015.03.026
Shi, YW; Tapa, MS; Li, C; Yang, HM; Zhang, T; Gao, Y; Sun, J; Zeng, J; Lin, Q; Cao, ZH; Outi, KE; Li, YG; Lou, K	Diversity and space-time dynamics of endophytic archaea from sugar beet in the north slope of Tianshan Mountain revealed by 454 pyrosequencing and T-RFLP	WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY	Plants harbor complex and variable microbial communities. Using molecular-based techniques targeting the 16S rRNA gene, we studied the developmental stages and geographical location diversity of endophytic archaea in two locations (Shihezi and Changji) and four periods (the seedling growth, rosette formation, tuber growth and sucrose accumulation sampling periods) in the north slope of Tianshan Mountain, China. Community structure of mixed sample from 60 sugar beet plants was examined using PCR-based 454 pyrosequencing and terminal restriction fragment length polymorphism (T-RFLP). In total, 5290 archaea 16S rRNA sequences were obtained from all sugar beet samples. The most abundant archaea groups in all sugar beet were Methanococci, the miscellaneous Crenarchaeotic Group and Thermoplasmata. There was a marked difference in diversity of endophytic archaea in sugar beet for different growth periods. The greatest number of Operational T-RFLP Units (OTUs) was detected during sucrose accumulation (298) and rosette formation (282). Endophytic archaea diversity was reduced during seedling growth (128 OTUs) and tuber growth (55 OTUs). Nine OTUs were common to all four periods of growth. There were more OTUs in Shihezi than in Changji. Clustering analysis and principal component analysis of T-RFLP data revealed distinct shifts in endophytic archaea community profiles that corresponded to plant growth stage rather than geographical location. The dynamics of endophytic archaea communities were influenced by plant growth stage. To our knowledge, this is the first report that archaea has been identified as endophytes associated with sugar beet by the culture-independent approach. The results suggest that the diversity of endophytic archaea is abundant in sugar beet.	2015	10.1007/s11274-015-1853-y
Cockell, CS; Cousins, C; Wilkinson, PT; Olsson-Francis, K; Rozitis, B	Are thermophilic microorganisms active in cold environments?	INTERNATIONAL JOURNAL OF ASTROBIOLOGY	The mean air temperature of the Icelandic interior is below 10 degrees C. However, we have previously observed 16S rDNA sequences associated with thermophilic lineages in Icelandic basalts. Measurements of the temperatures of igneous rocks in Iceland showed that solar insolation of these low albedo substrates achieved a peak surface temperature of 44.5 degrees C. We isolated seven thermophilic Geobacillus species from basalt with optimal growth temperatures of similar to 65 degrees C. The minimum growth temperature of these organisms was similar to 36 degrees C, suggesting that they could be active in the rock environment. Basalt dissolution rates at 40 degrees C were increased in the presence of one of the isolates compared to abiotic controls, showing its potential to be involved in active biogeochemistry at environmental temperatures. These data raise the possibility of transient active thermophilic growth in macroclimatically cold rocky environments, implying that the biogeographical distribution of active thermophiles might be greater than previously understood. These data show that temperatures measured or predicted over large scales on a planet are not in themselves adequate to assess niches available to extremophiles at micron scales.	2015	10.1017/S1473550414000433
Suh, SS; Park, M; Hwang, J; Kil, EJ; Jung, SW; Lee, S; Lee, TK	Seasonal Dynamics of Marine Microbial Community in the South Sea of Korea	PLOS ONE	High-resolution 16S rRNA tag pyrosequencing was used to obtain seasonal snapshots of the bacterial diversity and community structure at two locations in Gosung Bay (South Sea, Korea) over a one year period. Seasonal sampling from the water column at each site revealed highly diverse bacterial communities containing up to 900 estimated Operational Taxonomic Units (OTUs). The Alphaproteobacteria and Gammaproteobacteria were the most abundant groups, and the most frequently recorded OTUs were members of Pelagibacter and Glaciecola. In particular, it was observed that Arcobacter, a genus of the Epsilonproteobacteria, dominated during summer. In addition, Psedoalteromonadaceae, Vibrionaceae and SAR11-1 were predominant members of the OTUs found in all sampling seasons. Environmental factors significantly influenced the bacterial community structure among season, with the phosphate and nitrate concentrations contributing strongly to the spatial distribution of the Alphaproteobacteria; the Gammaproteobacteria, Flavobacteria, and Actinobacteria all showed marked negative correlations with all measured nutrients, particularly silicon dioxide and chlorophyll-a. The results suggest that seasonal changes in environmental variables contribute to the dynamic structure of the bacterial community in the study area.	2015	10.1371/journal.pone.0131633
Chown, SL; Clarke, A; Fraser, CI; Cary, SC; Moon, KL; McGeoch, MA	The changing form of Antarctic biodiversity	NATURE	Antarctic biodiversity is much more extensive, ecologically diverse and biogeographically structured than previously thought. Understanding of how this diversity is distributed in marine and terrestrial systems, the mechanisms underlying its spatial variation, and the significance of the microbiota is growing rapidly. Broadly recognizable drivers of diversity variation include energy availability and historical refugia. The impacts of local human activities and global environmental change nonetheless pose challenges to the current and future understanding of Antarctic biodiversity. Life in the Antarctic and the Southern Ocean is surprisingly rich, and as much at risk from environmental change as it is elsewhere.	2015	10.1038/nature14505
Morlon, H; OConnor, TK; Bryant, JA; Charkoudian, LK; Docherty, KM; Jones, E; Kembel, SW; Green, JL; Bohannan, BJM	The Biogeography of Putative Microbial Antibiotic Production	PLOS ONE	Understanding patterns in the distribution and abundance of functional traits across a landscape is of fundamental importance to ecology. Mapping these distributions is particularly challenging for species-rich groups with sparse trait measurement coverage, such as flowering plants, insects, and microorganisms. Here, we use likelihood-based character reconstruction to infer and analyze the spatial distribution of unmeasured traits. We apply this framework to a microbial dataset comprised of 11,732 ketosynthase alpha gene sequences extracted from 144 soil samples from three continents to document the spatial distribution of putative microbial polyketide antibiotic production. Antibiotic production is a key competitive strategy for soil microbial survival and performance. Additionally, novel antibiotic discovery is highly relevant to human health, making natural antibiotic production by soil microorganisms a major target for bioprospecting. Our comparison of trait-based biogeographical patterns to patterns based on taxonomy and phylogeny is relevant to our basic understanding of microbial biogeography as well as the pressing need for new antibiotics.	2015	10.1371/journal.pone.0130659
Okie, JG; Van Horn, DJ; Storch, D; Barrett, JE; Gooseff, MN; Kopsova, L; Takacs-Vesbach, CD	Niche and metabolic principles explain patterns of diversity and distribution: theory and a case study with soil bacterial communities	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	The causes of biodiversity patterns are controversial and elusive due to complex environmental variation, covarying changes in communities, and lack of baseline and null theories to differentiate straightforward causes from more complex mechanisms. To address these limitations, we developed general diversity theory integrating metabolic principles with niche-based community assembly. We evaluated this theory by investigating patterns in the diversity and distribution of soil bacteria taxa across four orders of magnitude variation in spatial scale on an Antarctic mountainside in low complexity, highly oligotrophic soils. Our theory predicts that lower temperatures should reduce taxon niche widths along environmental gradients due to decreasing growth rates, and the changing niche widths should lead to contrasting alpha- and beta-diversity patterns. In accord with the predictions, alpha-diversity, niche widths and occupancies decreased while beta-diversity increased with increasing elevation and decreasing temperature. The theory also successfully predicts a hump-shaped relationship between alpha-diversity and pH and a negative relationship between alpha-diversity and salinity. Thus, a few simple principles explained systematic microbial diversity variation along multiple gradients. Such general theory can be used to disentangle baseline effects from more complex effects of temperature and other variables on biodiversity patterns in a variety of ecosystems and organisms.	2015	10.1098/rspb.2014.2630
Bresciano, JC; Salvador, CA; Paz-y-Mino, C; Parody-Merino, AM; Bosch, J; Woodhams, DC	Variation in the Presence of Anti-Batrachochytrium dendrobatidis Bacteria of Amphibians Across Life Stages and Elevations in Ecuador	ECOHEALTH	Amphibian populations are decreasing worldwide due to a variety of factors. In South America, the chytrid fungus Batrachochytrium dendrobatidis (Bd) is linked to many population declines. The pathogenic effect of Bd on amphibians can be inhibited by specific bacteria present on host skin. This symbiotic association allows some amphibians to resist the development of the disease chytridiomycosis. Here, we aimed (1) to determine for the first time if specific anti-Bd bacteria are present on amphibians in the Andes of Ecuador, (2) to monitor anti-Bd bacteria across developmental stages in a focal amphibian, the Andean marsupial tree frog, Gastrotheca riobambae, that deposits larvae in aquatic habitats, and (3) to compare the Bd presence associated with host assemblages including 10 species at sites ranging in biogeography from Amazonian rainforest (450 masl) to Andes montane rainforest (3200 masl). We sampled and identified skin-associated bacteria of frogs in the field using swabs and a novel methodology of aerobic counting plates, and a combination of morphological, biochemical, and molecular identification techniques. The following anti-Bd bacteria were identified and found to be shared among several hosts at high-elevation sites where Bd was present at a prevalence of 32.5%: Janthinobacterium lividum, Pseudomonas fluorescens, and Serratia sp. Bd were detected in Gastrotheca spp. and not detected in the lowlands (sites below 1000 masl). In G. riobambae, recognized Bd-resistant bacteria start to be present at the metamorphic stage. Overall bacterial abundance was significantly higher post-metamorphosis and on species sampled at lower elevations. Further metagenomic studies are needed to evaluate the roles of host identity, life-history stage, and biogeography of the microbiota and their function in disease resistance.	2015	10.1007/s10393-015-1010-y
Tsiknia, M; Paranychianakis, NV; Varouchakis, EA; Nikolaidis, NP	Environmental drivers of the distribution of nitrogen functional genes at a watershed scale	FEMS MICROBIOLOGY ECOLOGY	To date only few studies have dealt with the biogeography of microbial communities at large spatial scales, despite the importance of such information to understand and simulate ecosystem functioning. Herein, we describe the biogeographic patterns of microorganisms involved in nitrogen (N)-cycling (diazotrophs, ammonia oxidizers, denitrifiers) as well as the environmental factors shaping these patterns across the Koiliaris Critical Zone Observatory, a typical Mediterranean watershed. Our findings revealed that a proportion of variance ranging from 40 to 80% of functional genes abundance could be explained by the environmental variables monitored, with pH, soil texture, total organic carbon and potential nitrification rate being identified as the most important drivers. The spatial autocorrelation of N-functional genes ranged from 0.2 to 6.2 km and prediction maps, generated by cokriging, revealed distinct patterns of functional genes. The inclusion of functional genes in statistical modeling substantially improved the proportion of variance explained by the models, a result possibly due to the strong relationships that were identified among microbial groups. Significant relationships were set between functional groups, which were further mediated by land use (natural versus agricultural lands). These relationships, in combination with the environmental variables, allow us to provide insights regarding the ecological preferences of N-functional groups and among them the recently identified clade II of nitrous oxide reducers.	2015	10.1093/femsec/fiv052
Segarra, KEA; Schubotz, F; Samarkin, V; Yoshinaga, MY; Hinrichs, KU; Joye, SB	High rates of anaerobic methane oxidation in freshwater wetlands reduce potential atmospheric methane emissions	NATURE COMMUNICATIONS	The role of anaerobic oxidation of methane (AOM) in wetlands, the largest natural source of atmospheric methane, is poorly constrained. Here we report rates of microbially mediated AOM (average rate = 20 nmol cm(-3) per day) in three freshwater wetlands that span multiple biogeographical provinces. The observed AOM rates rival those in marine environments. Most AOM activity may have been coupled to sulphate reduction, but other electron acceptors remain feasible. Lipid biomarkers typically associated with anaerobic methane-oxidizing archaea were more enriched in C-13 than those characteristic of marine systems, potentially due to distinct microbial metabolic pathways or dilution with heterotrophic isotope signals. On the basis of this extensive data set, AOM in freshwater wetlands may consume 200 Tg methane per year, reducing their potential methane emissions by over 50%. These findings challenge precepts surrounding wetland carbon cycling and demonstrate the environmental relevance of an anaerobic methane sink in ecosystems traditionally considered strong methane sources.	2015	10.1038/ncomms8477
Constancias, F; Terrat, S; Saby, NPA; Horrigue, W; Villerd, J; Guillemin, JP; Biju-Duval, L; Nowak, V; Dequiedt, S; Ranjard, L; Prevost-Boure, NC	Mapping and determinism of soil microbial community distribution across an agricultural landscape	MICROBIOLOGYOPEN	Despite the relevance of landscape, regarding the spatial patterning of microbial communities and the relative influence of environmental parameters versus human activities, few investigations have been conducted at this scale. Here, we used a systematic grid to characterize the distribution of soil microbial communities at 278 sites across a monitored agricultural landscape of 13km(2). Molecular microbial biomass was estimated by soil DNA recovery and bacterial diversity by 16S rRNA gene pyrosequencing. Geostatistics provided the first maps of microbial community at this scale and revealed a heterogeneous but spatially structured distribution of microbial biomass and diversity with patches of several hundreds of meters. Variance partitioning revealed that both microbial abundance and bacterial diversity distribution were highly dependent of soil properties and land use (total variance explained ranged between 55% and 78%). Microbial biomass and bacterial richness distributions were mainly explained by soil pH and texture whereas bacterial evenness distribution was mainly related to land management. Bacterial diversity (richness, evenness, and Shannon index) was positively influenced by cropping intensity and especially by soil tillage, resulting in spots of low microbial diversity in soils under forest management. Spatial descriptors also explained a small but significant portion of the microbial distribution suggesting that landscape configuration also shapes microbial biomass and bacterial diversity.	2015	10.1002/mbo3.255
Constancias, F; Saby, NPA; Terrat, S; Dequiedt, S; Horrigue, W; Nowak, V; Guillemin, JP; Biju-Duval, L; Prevost-Boure, N; Ranjard, L	Contrasting spatial patterns and ecological attributes of soil bacterial and archaeal taxa across a landscape	MICROBIOLOGYOPEN	Even though recent studies have clarified the influence and hierarchy of environmental filters on bacterial community structure, those constraining bacterial populations variations remain unclear. In consequence, our ability to understand to ecological attributes of soil bacteria and to predict microbial community response to environmental stress is therefore limited. Here, we characterized the bacterial community composition and the various bacterial taxonomic groups constituting the community across an agricultural landscape of 12km(2), by using a 215x215m systematic grid representing 278 sites to precisely decipher their spatial distribution and drivers at this scale. The bacterial and Archaeal community composition was characterized by applying 16S rRNA gene pyrosequencing directly to soil DNA from samples. Geostatistics tools were used to reveal the heterogeneous distribution of bacterial composition at this scale. Soil physical parameters and land management explained a significant amount of variation, suggesting that environmental selection is the major process shaping bacterial composition. All taxa systematically displayed also a heterogeneous and particular distribution patterns. Different relative influences of soil characteristics, land use and space were observed, depending on the taxa, implying that selection and spatial processes might be differentially but not exclusively involved for each bacterial phylum. Soil pH was a major factor determining the distribution of most of the bacterial taxa and especially the most important factor explaining the spatial patterns of -Proteobacteria and Planctomycetes. Soil texture, organic carbon content and quality were more specific to a few number of taxa (e.g., -Proteobacteria and Chlorobi). Land management also influenced the distribution of bacterial taxa across the landscape and revealed different type of response to cropping intensity (positive, negative, neutral or hump-backed relationships) according to phyla. Altogether, this study provided valuable clues about the ecological behavior of soil bacterial and archaeal taxa at an agricultural landscape scale and could be useful for developing sustainable strategies of land management.	2015	10.1002/mbo3.256
Overmann, J	Significance and future role of microbial resource centers	SYSTEMATIC AND APPLIED MICROBIOLOGY	Isolated strains constitute the basis for microbial systematics as well as for numerous applications in biotechnology, pharmacology, agronomy and public health. Microbial resource centers (mBRCs) are institutions capable of safeguarding, maintaining and distributing authenticated microbial strains, their genomic DNA and the associated data in a quality-controlled manner. They allow the deposit and distribution of type strains that form the basis of microbial taxonomy. Beyond taxonomy, deposited strains enable follow-up scientific studies and lead to a significantly improved recognition of scientific work. Considerable added value is generated through the labor-intensive steps of enrichment, enrichment screening, isolation, characterization, conservation and long-term storage of microbial strains. Here, a microbial strain is calculated to attain a value of 9836 Euro through its isolation and another 918 Euro through its deposit, adding up to a total value of 10,754 Euro. mBRCs provide a highly cost-effective way of preserving this value of microbial strains. A considerable future challenge of mBRCs will be to secure a larger fraction of strains that are isolated in research labs worldwide. mBRCs provide the expert knowledge and the cultivation and preservation skills crucial to access the large fraction of uncharted microbial diversity. mBRCs also provide the expertise and support the depositors of microbial resources to meet new legal challenges after implementation of the Nagoya Protocol. A suitable roadmap is described that allows mBRCs to meet the new demands emerging in science, technology and economy through an integration of novel technology, expansion of their duties and establishing an improved global mBRC network. (C) 2015 Elsevier GmbH. All rights reserved.	2015	10.1016/j.syapm.2015.02.008
